Variant,HL,CI_lo,CI_hi,W_stat,p_value,Stars
no_refinement,0.0205,0.0161,0.0248,1571.0,3.407772866024436e-13,***
no_consensus,0.002,-0.001,0.0057,4515.0,0.20209216815037334,ns
