,GL70,GL72,GL74,GL76,GL78,GL80,GL82,GL84,GL86,Med3,Med5,Med7,Med9,Med11,Med13,Med15,Med17,Med19
99999991_20200319_Feet_R_S_0,0.7130828932296905,0.7175845586876353,0.7287259282031525,0.7301246340775731,0.7282017592374052,0.840913246923709,0.8124141729383713,0.8629518375697205,0.8678451147619651,0.6611809450776417,0.7496209651118991,0.7774784468480058,0.783974469581711,0.8017496290242898,0.801015325239913,0.8103667564652368,0.8439757884659176,0.8296936425255844
99999991_20200319_Feet_R_S_1,0.8883459804871162,0.8952723845072594,0.8859724134632453,0.8841208020697332,0.8817759269215836,0.8814401138708643,0.8774599975426303,0.87687029693048,0.9021876350721856,0.7463330128313853,0.7940010390584334,0.8916088630419837,0.8646784155900057,0.820998996833477,0.7794112453853468,0.7095048535959299,0.6186835417726486,0.5177887197811928
99999991_20200319_Feet_R_S_2,0.8967776888237454,0.9117711815858622,0.9053519916615019,0.9089321591836439,0.9049711795606447,0.8962558588500732,0.8981245822783245,0.8846146399399881,0.8996163995890452,0.7714528751510201,0.8817461202322436,0.8607179404953849,0.8513920665275737,0.8008534910789777,0.7676155863444264,0.7072557056155058,0.6258812457027209,0.5309357756713169
99999991_20200319_Feet_R_S_3,0.8571955442334449,0.8987711732136129,0.8652386132551653,0.8667033319272209,0.9252905941205462,0.9225204302129577,0.9199183764095612,0.9172957523962088,0.9209100430169797,0.7972661442507911,0.8780173535600468,0.8840167861780719,0.8585981032828996,0.8176040933306281,0.7563151823578219,0.6808795849135658,0.6132199333706897,0.5119492874901017
99999992_20200319_Feet_L_S_0,0.898016055002988,0.9030888285895307,0.8861380172197476,0.9250824474594038,0.9253536450163861,0.9350671323334452,0.935362656291512,0.936085769568155,0.9389599234336768,0.7299414798408127,0.8335801846322487,0.860825156181349,0.9184393568948409,0.926925227178986,0.9351591469080753,0.8909179290234418,0.900979162894495,0.8620696018251105
99999992_20200319_Feet_L_S_1,0.9459285280723786,0.9493295437543009,0.9274304611064105,0.9305805392501664,0.927320349671945,0.9289991917723707,0.9252628958364425,0.8730301883988478,0.8499488075181046,0.7983584849949321,0.8231410842730799,0.8285918836160413,0.8502334282971963,0.8653791643964001,0.948695793300231,0.9314311346423731,0.9266669866394107,0.8972642805725136
99999992_20200319_Feet_L_S_2,0.9024893206933354,0.8994751595093721,0.9007496182015869,0.9010881476390588,0.9131475332872613,0.9144517278966467,0.9154747366909545,0.9281436599361552,0.9271797359594626,0.7770926997419173,0.8686240000000003,0.9066407065433708,0.8971102785352574,0.8963432973559159,0.883226056476923,0.8899808870789802,0.7857002354578019,0.738476273037499
99999992_20200319_Feet_L_S_3,0.9337621840500031,0.9428399923829898,0.9432884304035384,0.9341802896657837,0.9477162941561463,0.9339903946510326,0.9377784592859704,0.9377784592859704,0.9687584645887857,0.7194575693356549,0.7563208309967742,0.9199683341052374,0.8439055703635535,0.9159240097640785,0.8783216716337152,0.9567538254808344,0.9294517187940908,0.830872577942639
99999992_20200319_Feet_R_S_0,0.8286846433588687,0.8610062067606473,0.8206570210240945,0.8457518979096902,0.9130472101079974,0.9185458422802197,0.9129868070848615,0.92276786335129,0.9271765672142657,0.8170878890026281,0.9065365931334668,0.9350522581479197,0.9337479628842417,0.962119940483645,0.8569321966563224,0.8127557337432529,0.8223307673444716,0.7000539334170807
99999992_20200319_Feet_R_S_1,0.6769558488890702,0.764733536266654,0.7261733021884029,0.7753917148922838,0.7493932331909353,0.7485455513027752,0.769194115018577,0.7714292685755957,0.7831736850301828,0.8458974939994229,0.8768632947327293,0.899079082991176,0.909457134961373,0.9216774060390776,0.9042044033626628,0.8390942964296569,0.8149168475627826,0.7416126541896307
99999992_20200319_Feet_R_S_2,0.850716824776472,0.849951444208057,0.8338496953122793,0.83812990668097,0.8174543497373057,0.7454669226556104,0.859430414528415,0.8555431575396965,0.8751107784713843,0.8120407938119824,0.8334632555003455,0.8319634461604406,0.8467304945654527,0.8315622575588719,0.8009593893321989,0.8175270714426978,0.8551116686930467,0.6836852093928051
99999992_20200319_Feet_R_S_3,0.700121849004264,0.8577359619439225,0.7147740918103246,0.8700848451415927,0.8786857743706171,0.8786857743706171,0.8871364741820036,0.8871364741820036,0.8871364741820036,0.841305845745406,0.8609519145469096,0.8825485190694076,0.8776572697270218,0.8559460090233394,0.8499681106137194,0.8695129539294719,0.8541429585009435,0.7197245734297921
99999998_20200227_Feet_L_S_0,0.8841274625845176,0.8915134891440504,0.8982750871006941,0.9097518163621726,0.9127205527957795,0.9237221352635401,0.9338630057374083,0.9338630057374083,0.9296146238626842,0.8802956717602232,0.9421209333955185,0.9521098973685154,0.9500074402618055,0.9202059546019254,0.8807858096796342,0.8115995839958491,0.790279961107191,0.7454340985351366
99999998_20200227_Feet_L_S_1,0.8731180688103093,0.8702054804786377,0.8729205846681769,0.8762957870588811,0.881794690254171,0.8971947103218872,0.8655995966035643,0.8941228714356285,0.8672981155652523,0.7200529890255296,0.7422921999402431,0.7645659056883743,0.859843703954327,0.8519172771512581,0.8686546582368042,0.8262630461311515,0.809743633295054,0.7102919072913205
99999998_20200227_Feet_L_S_2,0.8806103284082498,0.903713259293935,0.9221230788236284,0.9200335056882462,0.9146277360861013,0.9179001688270645,0.9213462158070033,0.9311706177119942,0.9325567164600209,0.8096426101530971,0.8216338213626855,0.9452839343158684,0.9361816385698051,0.908762703848996,0.8716248152924301,0.8124416504831066,0.7283491537740828,0.6513106616976349
99999998_20200227_Feet_L_S_3,0.8570762268904264,0.8894583803142118,0.8965097150699516,0.8999828486190282,0.898364527436343,0.8898064627193184,0.8965421002520643,0.8936970169874168,0.8977767236055515,0.8305644755116173,0.9065744750745144,0.9070795770016256,0.9004531686141268,0.8977086013164021,0.8596178470268205,0.8452788909470397,0.8305093839556312,0.7301992464138433
99999998_20200227_Feet_R_S_0,0.8852403658140806,0.9000207277068274,0.9057097878290338,0.9092054904297582,0.8969085302154725,0.9150020204967668,0.9243204700228894,0.9133165385866937,0.9211784055423392,0.7994232298211582,0.8178463657295301,0.8877657593971644,0.9091379335520906,0.8803649183534178,0.8233070230455795,0.769537972870572,0.7154591735902324,0.6180609617607752
