Method,Jaccard_mean,Jaccard_std,FPS
CIBICA,0.8517,0.0886,308.8
HOUGH,0.7799,0.0986,6097.3
RHT,0.7871,0.079,53.3
RCD,0.8254,0.0822,22.7
QI,0.8483,0.0891,492.8
