Method_A,Method_B,Mean_A,Mean_B,Delta,W_stat,p_value,Stars
CIBICA,HOUGH,0.8968,0.8067,0.0901,196.0,1.2527952864492443e-23,***
CIBICA,RHT,0.8968,0.8077,0.0892,61.0,7.930765073254841e-25,***
CIBICA,RCD,0.8968,0.8601,0.0367,1184.0,8.34646225183225e-16,***
CIBICA,QI,0.8968,0.8956,0.0013,4607.0,0.22151534956724317,ns
HOUGH,RHT,0.8067,0.8077,-0.0009,5078.0,0.7770302523018667,ns
HOUGH,RCD,0.8067,0.8601,-0.0534,1010.0,4.61860644511923e-17,***
HOUGH,QI,0.8067,0.8956,-0.0889,179.0,8.885178988882449e-24,***
RHT,RCD,0.8077,0.8601,-0.0524,148.0,4.734750273609887e-24,***
RHT,QI,0.8077,0.8956,-0.0879,51.0,6.446019020121291e-25,***
RCD,QI,0.8601,0.8956,-0.0355,1228.0,1.7029163798443717e-15,***
