Method,Jaccard_mean,Jaccard_std,FPS
CIBICA,0.8518,0.0874,342.4
HOUGH,0.7799,0.0986,6963.3
RHT,0.7868,0.0784,55.5
RCD,0.825,0.0833,23.1
QI,0.8483,0.0891,536.3
