Baseline,HL,CI_lo,CI_hi,W_stat,p_value,r_rb,Stars,n_better,n_worse
HOUGH,0.0929,0.0826,0.1019,196.0,1.2527952864492443e-23,-0.962,***,135,9
RHT,0.09,0.081,0.0977,61.0,7.930765073254841e-25,-0.988,***,139,5
RCD,0.0384,0.0306,0.0454,1184.0,8.34646225183225e-16,-0.773,***,117,27
QI,0.0011,-0.0006,0.0029,4607.0,0.22151534956724317,-0.117,ns,79,65
