Method,Jaccard_mean,Jaccard_std,FPS
CIBICA,0.8968,0.0517,275.6
HOUGH,0.8067,0.0791,6831.4
RHT,0.8077,0.0574,55.5
RCD,0.8601,0.0506,22.7
QI,0.8956,0.0517,573.9
