Method,Jaccard_mean,Jaccard_std,FPS
CIBICA,0.8976,0.0526,254.8
HOUGH,0.8067,0.0791,6121.4
RHT,0.8088,0.0559,53.6
RCD,0.8609,0.0524,22.6
QI,0.8956,0.0517,529.1
