Method,Jaccard_mean,Jaccard_std,FPS
CIBICA,0.8521,0.0877,313.1
HOUGH,0.7799,0.0986,6234.1
RHT,0.7886,0.078,53.7
RCD,0.8256,0.0828,22.9
QI,0.8483,0.0891,496.5
