Method,Best_Config,Jaccard_mean,Jaccard_std,FPS
CIBICA,GL82,0.9009,0.047,253.6
HOUGH,GL80,0.8143,0.0752,5839.1
RHT,Med11,0.8137,0.0718,53.1
RCD,GL82,0.8629,0.0493,22.5
QI,GL84,0.8959,0.0568,476.5
