n_triplets,time_s,fps,mean_jaccard
500,7.99,324.6,0.851374
1000,8.74,296.6,0.852294
2000,9.73,266.5,0.852834
5000,22.21,116.7,0.852421
10000,30.18,85.9,0.852527
