config,mean_Jaccard_CIBICA,mean_Jaccard_HOUGH,mean_Jaccard_RHT,mean_Jaccard_RCD,mean_Jaccard_QI
GL70,0.8817457473262569,0.8123605462161368,0.7953469880697882,0.8375786929354191,0.8739612717108224
GL72,0.8819982970344057,0.8123605462161368,0.8026558081917867,0.8411450070625022,0.8775798024736559
GL74,0.888546784059409,0.8123605462161368,0.8056085378412368,0.851476803291759,0.8827496155409951
GL76,0.8918220774690021,0.8123605462161368,0.8045063940825969,0.8529868901329805,0.8874699420591495
GL78,0.8964947007525615,0.8123605462161368,0.8093677965858705,0.8564161326177172,0.8913009524633004
GL80,0.8977845775065797,0.8123605462161368,0.8110647356255734,0.861687548418842,0.8957306868328817
GL82,0.8983196272524374,0.8123605462161368,0.811216796555899,0.8630083737179061,0.8950869060133851
GL84,0.8970377714330794,0.8123605462161368,0.8120249911000454,0.8600515027397715,0.8958651008227942
GL86,0.8905230570042408,0.8123605462161368,0.8089838031547844,0.8583134664006977,0.8924683317284712
Med3,0.7919716522872553,0.8123605462161368,0.737532884542146,0.7717208142561109,0.8026845408769263
Med5,0.8340287869147516,0.8123605462161368,0.769821980574194,0.810592310218459,0.8390170528329419
Med7,0.8690516897850684,0.8123605462161368,0.797313982068934,0.8426325874102214,0.8665020612268974
Med9,0.8750441733034855,0.8123605462161368,0.8115789401958424,0.8582903739064796,0.8718221184344548
Med11,0.8657549154999279,0.8123605462161368,0.8190475710934185,0.8584183770070137,0.8609582467179622
Med13,0.8431399214836651,0.8123605462161368,0.8036034913586028,0.8310492208598936,0.8376665234933915
Med15,0.79827644359035,0.8123605462161368,0.7801726875436598,0.7869229482867536,0.7927026711905074
Med17,0.7450366817135282,0.8123605462161368,0.7320030168051049,0.7334657143537062,0.7370200230008024
Med19,0.6790145726662995,0.8123605462161368,0.6748533585991805,0.6830335864770506,0.6687859005544574
