Method,Best_Config,Jaccard_mean,Jaccard_std,FPS
CIBICA,GL80,0.8997,0.0421,278.6
HOUGH,GL80,0.8143,0.0752,6120.1
RHT,Med11,0.8287,0.0643,53.6
RCD,GL84,0.8611,0.0563,22.4
QI,GL84,0.8959,0.0568,486.9
