Baseline,HL,CI_lo,CI_hi,W_stat,p_value,r_rb,Stars,n_better,n_worse
HOUGH,0.0933,0.0839,0.102,152.0,5.1364482703817246e-24,-0.971,***,139,5
RHT,0.0895,0.0818,0.097,61.0,7.930765073254841e-25,-0.988,***,139,5
RCD,0.0379,0.0311,0.0448,892.0,6.063228294628732e-18,-0.829,***,121,23
QI,0.0015,-0.0005,0.0036,4530.0,0.16879994649212904,-0.132,ns,79,65
