Method,Config,Time_s,FPS
RCD,Med17,0.041643,24.0
RCD,Med19,0.040229,24.9
RFCA,GL70,0.005814,172.0
RFCA,GL72,0.005732,174.5
RFCA,GL74,0.005985,167.1
RFCA,GL76,0.00566,176.7
RFCA,GL78,0.005858,170.7
RFCA,GL80,0.005727,174.6
RFCA,GL82,0.005763,173.5
RFCA,GL84,0.005816,172.0
RFCA,GL86,0.005773,173.2
RFCA,Med3,0.005689,175.8
RFCA,Med5,0.005495,182.0
RFCA,Med7,0.005586,179.0
RFCA,Med9,0.005727,174.6
RFCA,Med11,0.005702,175.4
RFCA,Med13,0.005554,180.1
RFCA,Med15,0.005347,187.0
RFCA,Med17,0.005184,192.9
RFCA,Med19,0.005067,197.3
Nurunnabi,GL70,0.001709,585.0
Nurunnabi,GL72,0.001713,583.9
Nurunnabi,GL74,0.00172,581.2
Nurunnabi,GL76,0.001723,580.3
Nurunnabi,GL78,0.001709,585.0
Nurunnabi,GL80,0.001735,576.4
Nurunnabi,GL82,0.001715,583.1
Nurunnabi,GL84,0.001751,571.1
Nurunnabi,GL86,0.001738,575.3
Nurunnabi,Med3,0.001718,582.0
Nurunnabi,Med5,0.001725,579.7
Nurunnabi,Med7,0.001705,586.6
Nurunnabi,Med9,0.001712,584.2
Nurunnabi,Med11,0.001703,587.1
Nurunnabi,Med13,0.001719,581.9
Nurunnabi,Med15,0.001699,588.5
Nurunnabi,Med17,0.001706,586.2
Nurunnabi,Med19,0.001688,592.6
Guo,GL70,0.000175,5717.6
Guo,GL72,0.000174,5732.0
Guo,GL74,0.000164,6112.2
Guo,GL76,0.000164,6096.6
Guo,GL78,0.000164,6094.9
Guo,GL80,0.000158,6336.1
Guo,GL82,0.000174,5734.7
Guo,GL84,0.000188,5328.8
Guo,GL86,0.000187,5344.9
Guo,Med3,0.000233,4293.4
Guo,Med5,0.00022,4542.8
Guo,Med7,0.000218,4591.1
Guo,Med9,0.000218,4582.5
Guo,Med11,0.000204,4897.8
Guo,Med13,0.000172,5830.7
Guo,Med15,0.000144,6955.1
Guo,Med17,0.000125,8006.3
Guo,Med19,0.000116,8586.9
Greco,GL70,0.004302,232.4
Greco,GL72,0.004353,229.7
Greco,GL74,0.004398,227.4
Greco,GL76,0.004414,226.6
Greco,GL78,0.004356,229.6
Greco,GL80,0.004412,226.6
Greco,GL82,0.004477,223.4
Greco,GL84,0.004516,221.4
Greco,GL86,0.004514,221.5
Greco,Med3,0.004435,225.5
Greco,Med5,0.004471,223.7
Greco,Med7,0.004433,225.6
Greco,Med9,0.004487,222.9
Greco,Med11,0.004443,225.1
Greco,Med13,0.004406,227.0
Greco,Med15,0.00438,228.3
Greco,Med17,0.00432,231.5
Greco,Med19,0.004339,230.5
Qi,GL70,0.001978,505.5
Qi,GL72,0.001976,506.1
Qi,GL74,0.001876,533.1
Qi,GL76,0.001934,517.1
Qi,GL78,0.001754,570.3
Qi,GL80,0.001715,583.1
Qi,GL82,0.001714,583.6
Qi,GL84,0.001969,507.8
Qi,GL86,0.002062,484.9
Qi,Med3,0.00206,485.5
Qi,Med5,0.002502,399.7
Qi,Med7,0.001936,516.6
Qi,Med9,0.002065,484.3
Qi,Med11,0.001973,506.9
Qi,Med13,0.001652,605.2
Qi,Med15,0.002338,427.7
Qi,Med17,0.001793,557.7
Qi,Med19,0.001574,635.4
