Method,Config,Time_s,FPS
CIBICA,GL70,0.002808,356.2
CIBICA,GL72,0.002872,348.2
CIBICA,GL74,0.002852,350.7
CIBICA,GL76,0.002939,340.3
CIBICA,GL78,0.003114,321.2
CIBICA,GL80,0.003361,297.5
CIBICA,GL82,0.003723,268.6
CIBICA,GL84,0.004005,249.7
CIBICA,GL86,0.004577,218.5
CIBICA,Med3,0.003268,306.0
CIBICA,Med5,0.003083,324.3
CIBICA,Med7,0.002924,342.0
CIBICA,Med9,0.002908,343.9
CIBICA,Med11,0.002816,355.1
CIBICA,Med13,0.002604,384.1
CIBICA,Med15,0.002304,434.0
CIBICA,Med17,0.002101,476.0
CIBICA,Med19,0.001887,529.9
3C-FBI,GL70,0.005978,167.3
3C-FBI,GL72,0.006034,165.7
3C-FBI,GL74,0.006079,164.5
3C-FBI,GL76,0.006108,163.7
3C-FBI,GL78,0.006389,156.5
3C-FBI,GL80,0.006595,151.6
3C-FBI,GL82,0.006945,144.0
3C-FBI,GL84,0.00734,136.2
3C-FBI,GL86,0.007847,127.4
3C-FBI,Med3,0.006441,155.2
3C-FBI,Med5,0.006328,158.0
3C-FBI,Med7,0.006073,164.7
3C-FBI,Med9,0.006112,163.6
3C-FBI,Med11,0.006002,166.6
3C-FBI,Med13,0.005816,171.9
3C-FBI,Med15,0.005487,182.3
3C-FBI,Med17,0.005284,189.3
3C-FBI,Med19,0.005133,194.8
RHT,GL70,0.019027,52.6
RHT,GL72,0.018929,52.8
RHT,GL74,0.018892,52.9
RHT,GL76,0.018871,53.0
RHT,GL78,0.018836,53.1
RHT,GL80,0.018844,53.1
RHT,GL82,0.019027,52.6
RHT,GL84,0.018988,52.7
RHT,GL86,0.018929,52.8
RHT,Med3,0.018955,52.8
RHT,Med5,0.018943,52.8
RHT,Med7,0.018861,53.0
RHT,Med9,0.018957,52.8
RHT,Med11,0.01882,53.1
RHT,Med13,0.018821,53.1
RHT,Med15,0.018803,53.2
RHT,Med17,0.018676,53.5
RHT,Med19,0.018585,53.8
RCD,GL70,0.044082,22.7
RCD,GL72,0.044047,22.7
RCD,GL74,0.044265,22.6
RCD,GL76,0.044326,22.6
RCD,GL78,0.044376,22.5
RCD,GL80,0.044935,22.3
RCD,GL82,0.044994,22.2
RCD,GL84,0.045162,22.1
RCD,GL86,0.045567,21.9
RCD,Med3,0.046443,21.5
RCD,Med5,0.046316,21.6
RCD,Med7,0.04558,21.9
RCD,Med9,0.044931,22.3
RCD,Med11,0.044253,22.6
RCD,Med13,0.043563,23.0
RCD,Med15,0.042488,23.5
