Method,Jaccard_mean,Jaccard_std,AD_px,RMSE_px,FPS
3C-FBI,0.8511,0.0872,0.858,0.739,167.5
RHT,0.7878,0.0789,1.578,0.833,54.1
RCD,0.8258,0.0826,1.158,0.769,23.0
RFCA,0.8461,0.0873,0.949,0.75,178.8
Nurunnabi,0.8149,0.0867,1.318,0.771,594.3
Guo,0.7928,0.1,1.626,0.733,6269.4
Greco,0.8497,0.0883,0.872,0.751,230.7
Qi,0.8483,0.0891,0.856,0.765,531.9
