Baseline,HL,CI_lo,CI_hi,W_stat,p_value,r_rb,Stars,n_better,n_worse,n_tie
CIBICA,-0.0014,-0.0038,0.001,4651.0,0.2564762185444309,-0.109,ns,66,78,0
RHT,0.0865,0.0783,0.0942,84.0,1.2756146784613435e-24,-0.984,***,137,7,0
RCD,0.0369,0.0301,0.0441,1118.0,2.823478819677794e-16,-0.786,***,117,27,0
RFCA,0.0043,0.0002,0.0087,4189.0,0.03977019352425087,-0.198,*,78,66,0
Nurunnabi,0.0542,0.0461,0.0628,479.0,3.2303041000803395e-21,-0.908,***,126,18,0
Guo,0.0816,0.0678,0.0954,367.0,3.726478126968109e-22,-0.93,***,125,19,0
Greco,-0.0009,-0.0034,0.0017,4880.0,0.49773142984926544,-0.065,ns,66,78,0
Qi,-0.0007,-0.0028,0.0018,4898.0,0.5207653907447992,-0.062,ns,63,81,0
