Filename,GL70,GL72,GL74,GL76,GL78,GL80,GL82,GL84,GL86,Med3,Med5,Med7,Med9,Med11,Med13,Med15,Med17,Med19
05571583_2020023_Feet_L_S_0,0.8075347148324081,0.8292513960330639,0.8351394082970077,0.8351234749238883,0.8294989921051011,0.8121379725831633,0.8114763910836995,0.8038872525397928,0.8415713478255248,0.612606992103946,0.6887748761628305,0.6745111591337757,0.7780554904193248,0.7778402417256323,0.8203443783357954,0.8034715145075086,0.785412633252966,0.7628000724315784
05571583_2020023_Feet_L_S_1,0.826756230366271,0.8497991785034402,0.8621398548595869,0.8613965992916788,0.8542576909630679,0.8586030544159081,0.913445672944547,0.8686534535515698,0.8517284392393671,0.680315209288563,0.7026940991670741,0.8090734651658881,0.8342319272529924,0.8129640490578426,0.8324790710330129,0.8183818437593317,0.8495128564959968,0.8397046078512832
05571583_2020023_Feet_L_S_2,0.8409068254858277,0.8320040636801351,0.8280029144723475,0.8101058055995152,0.8363491847346198,0.8452976786823806,0.8596773516716905,0.8416110618703786,0.8583394656175365,0.7118714481141423,0.8034428495893253,0.8974692645265429,0.8476543208843939,0.8586918146493419,0.8883488920202292,0.8328103388254691,0.8216493442540167,0.6977835252252085
05571583_2020023_Feet_L_S_3,0.8767634188810154,0.8657394883182384,0.9370476894068354,0.8676258976036554,0.9432280646749855,0.9541683484018129,0.8711002543442503,0.9291979915709053,0.9617248136445385,0.6839505990202334,0.704214182087608,0.8219798340382154,0.8749586637631372,0.8398545593984269,0.8363947764311173,0.8726180903307307,0.7840784814059762,0.787390232115428
05571583_2020023_Feet_R_S_0,0.7247207577131204,0.7143231855549039,0.7204548069896365,0.7373598116146516,0.7612499889676442,0.7316965731881598,0.746116536474545,0.7713890296420084,0.7967679815205819,0.6802524375375987,0.6808115966102447,0.7496856073703455,0.8276371633453619,0.8595814172936186,0.8978079502826679,0.8714948726409422,0.8330481468759797,0.7561333837988059
05571583_2020023_Feet_R_S_1,0.8197257515734904,0.829627332444369,0.8284905094957646,0.829269347765283,0.8484650084112075,0.8744081204057439,0.9165947340987144,0.9088244623765536,0.919116918274342,0.78844524767512,0.825371224383916,0.8511564605197537,0.894148628038453,0.9512594134729283,0.8522957123216701,0.7903609363792174,0.749069436273901,0.6484114047347601
05571583_2020023_Feet_R_S_2,0.8565776682821626,0.9382980960053275,0.9484110158405701,0.9261192675095702,0.9382980960053275,0.8090596296520436,0.800627743021167,0.7941587454718543,0.8100779236830942,0.8317565404930373,0.8830990759774945,0.8494500487966226,0.8690601077202371,0.8650101286134334,0.7999834914841791,0.7401294659198032,0.7461587364399512,0.6114147652642209
05571583_2020023_Feet_R_S_3,0.7777151454906827,0.7686956652145865,0.7793464701421255,0.7738824215248651,0.8134167468836668,0.8767821320145347,0.8807773529881173,0.8281238723143679,0.8518268744443573,0.7430263598585731,0.7851461158089441,0.8316950616033534,0.8362190733925227,0.9107010630056275,0.8350478855696656,0.7601390192488154,0.765758915818067,0.6767723886580859
05723258_20200601_Feet_L_S_0,0.9063277445731275,0.8490907565747428,0.8637120318356235,0.8450436614810242,0.8412192466770122,0.8532199394702115,0.8841798896706421,0.8674892909506303,0.841107353904249,0.7345473724655905,0.777429950320801,0.8435330507152994,0.801578999154655,0.8160959433230551,0.8771804424181309,0.7796526483416015,0.655893497003593,0.6505628551601967
05723258_20200601_Feet_L_S_1,0.8737744065529484,0.8539262625490506,0.8582141131551483,0.9065365733025,0.8629978978694003,0.854824525302337,0.8482837394113572,0.8168501168565807,0.8057742268291357,0.7972601440318815,0.8330292998476402,0.8995053121462266,0.8850595249488201,0.8958922806135422,0.8699690891905739,0.8101197411213251,0.5939138905497098,0.6363502639080532
05723258_20200601_Feet_L_S_2,0.9036820491951111,0.9007467073237245,0.8920062340928911,0.9021277527668218,0.9024133183699887,0.9010467485036032,0.8845593671704624,0.8816810640368914,0.8818067898540976,0.8114042271794125,0.9090444586781437,0.8818965406137689,0.8712229754631772,0.8580753792871152,0.8891332239089389,0.7961267098161279,0.7226835909254855,0.6199376479611554
05723258_20200601_Feet_L_S_3,0.9051403660524664,0.8870146803494752,0.8803868365021822,0.8501581976659742,0.9360650393592244,0.9036017117745299,0.8603962268655531,0.8633614546855213,0.8609349998392499,0.8462770160750103,0.9183035189066007,0.936183017630844,0.9413988120750081,0.9142695169401139,0.8769814256951812,0.7776810423741343,0.752172216369617,0.7215913008723313
05723258_20200601_Feet_R_S_0,0.8432578555505086,0.8405637761274345,0.8405637761274345,0.8452979366546827,0.8555254436972274,0.89357036743649,0.875103051508632,0.89357036743649,0.8893611484421254,0.7631267492684439,0.8294503032731804,0.8410772152334659,0.8662068147034728,0.7988768288319205,0.7770426240976022,0.6815345022748999,0.7197655633236013,0.6288736662486071
05723258_20200601_Feet_R_S_1,0.8897226586572404,0.9260887720743107,0.9164897785616003,0.9292127911339356,0.9433020080843598,0.9391422360046231,0.8958946060701514,0.9343918872718986,0.8070452753483149,0.823953651489868,0.858582223675592,0.8958094688710917,0.9454431380522919,0.8524873724763643,0.8399817479854256,0.7158470320149745,0.688460744313268,0.6206513055897546
05723258_20200601_Feet_R_S_2,0.8535256123519034,0.8959105412384695,0.8986388279009832,0.9320068930454222,0.919599416423913,0.8661965594267717,0.9252972787005243,0.8714943413136821,0.8944017139241535,0.7322658210872264,0.7780384422602655,0.8466082332119008,0.860078405249416,0.8594646026346099,0.8259105506278777,0.8875201775177893,0.8969580757851207,0.8032267548352786
05723258_20200601_Feet_R_S_3,0.8228369023076824,0.8920964178366299,0.8781620335193419,0.8904054383417097,0.893731131670007,0.861794866884989,0.8517143729856963,0.8468952439934571,0.8107479989913153,0.672745371076524,0.7934904292350868,0.8605191351557329,0.95299284297288,0.9397812160727195,0.8104071249831916,0.6848569220816731,0.6495222401866263,0.571870268609404
11156926_20200427_Feet_L_S_0,0.7602022419835925,0.7139277289845178,0.7699106358146737,0.7720612569128863,0.7899861359622021,0.772547022915645,0.7730658153465199,0.8139079419252353,0.8568166384962868,0.6482312688200564,0.6330984959474659,0.7168120331689397,0.6790163807863419,0.7314447825155261,0.7627483445042832,0.8362008322667557,0.7826789138014764,0.8208564320906631
11156926_20200427_Feet_L_S_1,0.7911077345948136,0.8002608223775416,0.7928963549418417,0.7976985462522781,0.8197379731029107,0.8539432545786183,0.8825797391255614,0.908154159956897,0.925215120283758,0.7125063396864401,0.7731044976206891,0.8507336352889038,0.8278882079598349,0.8579747930504711,0.9041622013828574,0.734801838280467,0.648985565196617,0.5891568342052298
11156926_20200427_Feet_L_S_2,0.794925972161551,0.834261260982482,0.83148634408237,0.8601228371747078,0.8870810147663865,0.8880685255290353,0.8502451461246402,0.8745774391717726,0.8899508543827618,0.7441384708732669,0.8003523916828837,0.8660719141673915,0.8971283056504885,0.8870810147663865,0.826887534479043,0.7106590447822638,0.6427891965709317,0.5911109251647467
11156926_20200427_Feet_L_S_3,0.7974694995730653,0.8457871117733811,0.8990775592996112,0.8104641839761648,0.8567786714364476,0.8567786714364476,0.828330784064205,0.879024661176456,0.8182670395806183,0.7005694871593143,0.7485963618990852,0.8059491934921321,0.8912980518167041,0.9090580786940609,0.9016494474854958,0.8413299413993274,0.6788268016204008,0.6181530538777175
11156926_20200427_Feet_R_S_0,0.8916140760076932,0.8844702426008354,0.8473572689180433,0.8750273849052318,0.861016128640927,0.8819967038714669,0.8595703325940766,0.903444960588637,0.6561753119379699,0.8508317726380715,0.9333230429868646,0.9419790054134635,0.7991397018796587,0.827732227392033,0.6649372463814115,0.66131702764139,0.48040181786436537,0.4537709242192528
11156926_20200427_Feet_R_S_1,0.8331207684206547,0.8505198434418122,0.8670450238095215,0.8485419543186533,0.8606422407706016,0.8563611710362939,0.7044875153919464,0.8179949641194064,0.6659580610444794,0.8515175618223959,0.8223572754477745,0.8114782628268281,0.8426295734117918,0.7725082391887398,0.6554884103132429,0.5884527729437441,0.5484761373782054,0.5408135756813863
11156926_20200427_Feet_R_S_2,0.8864017096351582,0.8860172824750255,0.8718834802623667,0.8860172824750255,0.8424439904053378,0.8469969779003395,0.794624949107789,0.7969451758893623,0.7917912719389366,0.8638934207446655,0.8580333593139451,0.8600916472978628,0.8351214710559501,0.7649871514762184,0.6621695712594886,0.6680186637214305,0.5572276896153302,0.4846745971957228
11156926_20200427_Feet_R_S_3,0.7782209739054705,0.8286808701172224,0.8300985635865871,0.8124491053628913,0.8078665236191276,0.8158424862486693,0.81778507778409,0.84417219655292,0.8183610345382676,0.8378771552346309,0.844073371868852,0.8889326333405987,0.8174123896454256,0.8236736561932408,0.8319906728201409,0.8316110427114608,0.7336400901251781,0.6923768683212023
12405045_2020023_Feet_L_S_0,0.8100826181295083,0.8066723104737705,0.7867893672816144,0.8040160651337115,0.8224445752263698,0.8739283739235089,0.8028249022908787,0.7912417226442459,0.8542467092492046,0.8712151827167821,0.8224348196784204,0.7695526712212912,0.7840236604182729,0.7603060456464467,0.5990492755641209,0.6107769001296016,0.5905704242792131,0.5064502231087322
12405045_2020023_Feet_L_S_1,0.8408578715258661,0.8318652817868201,0.8821724814453727,0.8560220481796689,0.8696911834628416,0.8253038612015593,0.898564519786973,0.8289368967163582,0.878690974270679,0.7821414289620195,0.7994884596188979,0.8201946520862577,0.7895771887672077,0.7957463702190094,0.7636046471937222,0.6842258193189402,0.7317950804015843,0.6204595945695571
12405045_2020023_Feet_L_S_2,0.8139107847876283,0.8572258785563605,0.8477382911223597,0.869762599414426,0.8261379838266996,0.8352567591429367,0.8685078114748608,0.8613255060388195,0.8546606307203358,0.7525843033876395,0.7889858055459151,0.7680191540263411,0.7928523426703875,0.6704296917110726,0.6688870136144162,0.5855159448968013,0.52920842999249,0.43156853469629064
