Method,0out_s,0out_fps,1out_s,1out_fps,2out_s,2out_fps,3out_s,3out_fps,4out_s,4out_fps,5out_s,5out_fps,Mean_FPS
CIBICA,0.001242,805.3,0.001209,827.4,0.001215,823.3,0.001236,809.3,0.001204,830.2,0.001199,834.2,821.5
3C-FBI,0.004827,207.2,0.00473,211.4,0.004711,212.3,0.004666,214.3,0.004542,220.2,0.004537,220.4,214.2
RHT,0.018299,54.6,0.018158,55.1,0.018193,55.0,0.018299,54.6,0.018194,55.0,0.018181,55.0,54.9
RCD,0.055434,18.0,0.055442,18.0,0.055639,18.0,0.055858,17.9,0.055604,18.0,0.056022,17.9,18.0
RFCA,0.00634,157.7,0.006353,157.4,0.006404,156.1,0.006229,160.6,0.006047,165.4,0.006451,155.0,158.6
Nurunnabi,0.00164,609.9,0.00164,609.8,0.001636,611.1,0.001645,607.9,0.001613,619.9,0.001633,612.5,611.8
Guo,0.000117,8575.9,0.000175,5712.4,0.000176,5688.4,0.000183,5456.7,0.000193,5169.0,0.000209,4778.6,5695.6
Greco,0.005169,193.5,0.005288,189.1,0.005124,195.2,0.005114,195.5,0.005011,199.5,0.005061,197.6,195.0
Qi,0.001551,644.9,0.001657,603.4,0.001615,619.1,0.001426,701.3,0.001529,653.8,0.001697,589.1,633.2
