Method,Wins,Pct
CIBICA,10,4.2
3C-FBI,90,37.5
RHT,17,7.1
RCD,9,3.8
RFCA,37,15.4
Nurunnabi,6,2.5
Guo,3,1.2
Greco,1,0.4
Qi,67,27.9
