Method,0 outliers,1 outliers,2 outliers,3 outliers,4 outliers,5 outliers
3C-FBI,0.372,0.39,0.388,0.443,0.489,0.39
RHT,0.578,0.729,0.692,0.715,0.793,0.736
RCD,0.456,0.454,0.488,0.493,0.486,0.471
RFCA,0.298,0.358,0.393,0.6,0.704,0.714
Nurunnabi,0.327,3.356,9.558,18.179,17.966,19.798
Guo,0.455,136.103,424.779,220.513,295.823,216.243
Greco,0.416,0.478,0.404,0.488,0.483,0.436
Qi,0.315,0.318,1.837,0.371,0.969,0.333
