Method,Jaccard,AD (px),RMSE (px),FPS
CIBICA,0.852,0.868,0.725,334.6
3C-FBI,0.851,0.859,0.738,166.0
RHT,0.787,1.575,0.836,53.5
RCD,0.825,1.15,0.781,22.8
RFCA,0.846,0.949,0.75,179.1
Nurunnabi,0.813,1.335,0.769,593.8
Guo,0.793,1.626,0.733,5729.5
Greco,0.85,0.872,0.751,230.6
Qi,0.848,0.856,0.765,521.7
