Method,Mean_time_s,Mean_FPS,Noise0_FPS
CIBICA,0.004434,225.5,296.6
3C-FBI,0.007793,128.3,142.4
RHT,0.019451,51.4,52.8
RCD,0.056257,17.8,19.0
RFCA,0.006827,146.5,115.4
Nurunnabi,0.001777,562.9,582.2
Guo,0.000151,6620.5,8796.4
Greco,0.004967,201.3,207.4
Qi,0.00206,485.5,534.7
