Method,Jaccard_mean,Jaccard_std,AD_px,RMSE_px,FPS
3C-FBI-3,0.8947,0.0495,0.778,0.429,147.2
3C-FBI-5,0.8892,0.0525,0.863,0.417,123.9
RHT,0.8073,0.0552,1.656,0.543,53.3
RCD,0.864,0.0518,1.102,0.428,22.4
RFCA,0.8895,0.0567,0.821,0.44,174.5
Nurunnabi,0.841,0.0685,1.336,0.503,588.1
Guo,0.8088,0.0952,1.8,0.449,5859.1
Greco,0.8963,0.053,0.74,0.452,227.9
Qi,0.8956,0.0517,0.727,0.454,559.6
