Method,Best_Config,Jaccard_mean,Jaccard_std,AD_px,RMSE_px,FPS
CIBICA,GL80,0.9002,0.0386,0.726,0.406,294.1
3C-FBI,GL80,0.8965,0.042,0.765,0.417,148.5
RHT,Med11,0.8196,0.0745,1.573,0.581,53.8
RCD,GL82,0.861,0.0548,1.133,0.438,22.6
RFCA,GL82,0.8904,0.0563,0.812,0.433,175.8
Nurunnabi,Med11,0.8528,0.0715,1.208,0.536,597.8
Guo,Med9,0.8394,0.0859,1.389,0.559,4896.4
Greco,GL80,0.8996,0.0402,0.731,0.419,231.7
Qi,GL84,0.8959,0.0568,0.727,0.45,512.6
