Method,Best_Config,Jaccard_mean,Jaccard_std,AD_px,RMSE_px,FPS
3C-FBI,GL82,0.8969,0.048,0.746,0.417,151.6
RHT,Med11,0.8155,0.0653,1.551,0.613,53.9
RCD,GL82,0.8616,0.0537,1.139,0.419,22.7
RFCA,GL82,0.8904,0.0563,0.812,0.433,174.6
Nurunnabi,Med11,0.8542,0.0743,1.201,0.544,593.0
Guo,Med9,0.8394,0.0859,1.389,0.559,4985.7
Greco,GL80,0.8996,0.0402,0.731,0.419,230.4
Qi,GL84,0.8959,0.0568,0.727,0.45,516.4
