Method,0out_s,0out_fps,1out_s,1out_fps,2out_s,2out_fps,3out_s,3out_fps,4out_s,4out_fps,5out_s,5out_fps,Mean_FPS
3C-FBI,0.005116,195.5,0.004741,210.9,0.004625,216.2,0.004579,218.4,0.004607,217.1,0.004694,213.0,211.6
RHT,0.018346,54.5,0.018417,54.3,0.018374,54.4,0.018293,54.7,0.018399,54.4,0.018576,53.8,54.3
RCD,0.055269,18.1,0.055277,18.1,0.055464,18.0,0.055755,17.9,0.055865,17.9,0.056467,17.7,18.0
RFCA,0.006351,157.4,0.00638,156.8,0.006423,155.7,0.006161,162.3,0.006127,163.2,0.006569,152.2,157.9
Nurunnabi,0.001631,612.9,0.001636,611.1,0.001633,612.3,0.001611,620.6,0.001637,611.0,0.001671,598.3,611.0
Guo,0.000127,7854.2,0.000192,5215.2,0.000192,5214.6,0.000183,5464.4,0.000218,4583.9,0.00025,3993.6,5161.8
Greco,0.005217,191.7,0.005348,187.0,0.005175,193.2,0.005109,195.7,0.005155,194.0,0.005204,192.2,192.3
Qi,0.001553,644.0,0.001673,597.8,0.001633,612.5,0.001406,711.2,0.001547,646.2,0.00178,561.6,625.5
