Method,0out_s,0out_fps,1out_s,1out_fps,2out_s,2out_fps,3out_s,3out_fps,4out_s,4out_fps,5out_s,5out_fps,Mean_FPS
3C-FBI,0.004821,207.4,0.004657,214.7,0.004673,214.0,0.004575,218.6,0.004538,220.4,0.00451,221.7,216.0
RHT,0.018087,55.3,0.018161,55.1,0.018111,55.2,0.018102,55.2,0.018063,55.4,0.018102,55.2,55.2
RCD,0.055086,18.2,0.054804,18.2,0.055011,18.2,0.055403,18.0,0.055009,18.2,0.05557,18.0,18.1
RFCA,0.006337,157.8,0.006334,157.9,0.006393,156.4,0.006166,162.2,0.006067,164.8,0.006428,155.6,159.0
Nurunnabi,0.001635,611.8,0.001626,614.9,0.00163,613.4,0.001623,616.0,0.001622,616.5,0.001625,615.4,614.6
Guo,0.000123,8140.7,0.000181,5539.2,0.000189,5284.6,0.000183,5475.8,0.000201,4982.8,0.000215,4657.3,5501.4
Greco,0.005171,193.4,0.00528,189.4,0.005128,195.0,0.005065,197.4,0.005062,197.6,0.005054,197.9,195.1
Qi,0.001529,653.9,0.001634,611.9,0.001616,618.7,0.001394,717.1,0.001515,660.1,0.001683,594.2,640.2
