Method,Jaccard_mean,Jaccard_std,AD_px,RMSE_px,FPS
CIBICA,0.8518,0.0883,0.872,0.73,332.4
3C-FBI,0.85,0.0864,0.884,0.743,160.7
RHT,0.787,0.0777,1.59,0.827,53.0
RCD,0.8259,0.0834,1.155,0.772,22.6
RFCA,0.8461,0.0873,0.949,0.75,177.4
Nurunnabi,0.8149,0.0858,1.316,0.768,582.7
Guo,0.7928,0.1,1.626,0.733,5628.7
Greco,0.8497,0.0883,0.872,0.751,226.5
Qi,0.8483,0.0891,0.856,0.765,516.2
