Baseline,HL,CI_lo,CI_hi,W_stat,p_value,r_rb,Stars,n_better,n_worse,n_tie
CIBICA,-0.003,-0.0054,-0.0008,3857.0,0.006563082321652418,-0.261,**,62,82,0
RHT,0.0893,0.0808,0.098,69.0,9.358594601459873e-25,-0.987,***,137,7,0
RCD,0.0351,0.0291,0.041,766.0,6.52967539405989e-19,-0.853,***,116,28,0
RFCA,0.0028,-0.0002,0.0064,4340.0,0.0792613788913783,-0.169,ns,75,69,0
Nurunnabi,0.0522,0.0443,0.0605,289.0,8.042978378130605e-23,-0.945,***,131,13,0
Guo,0.0816,0.0671,0.0962,362.0,3.380072005246333e-22,-0.931,***,125,19,0
Greco,-0.0023,-0.0054,0.0009,4475.0,0.13734346201322364,-0.143,ns,65,79,0
Qi,-0.0007,-0.0033,0.002,4949.0,0.5888822534587851,-0.052,ns,72,72,0
