Method,Mean_time_s,Mean_FPS,Noise0_FPS
3C-FBI,0.006845,146.1,171.3
RHT,0.018705,53.5,53.9
RCD,0.047843,20.9,22.0
RFCA,0.006342,157.7,127.5
Nurunnabi,0.00168,595.1,603.2
Guo,0.000138,7271.6,9406.4
Greco,0.004583,218.2,222.8
Qi,0.001995,501.4,643.8
