Method,Jaccard_mean,Jaccard_std,AD_px,RMSE_px,FPS
3C-FBI,0.8497,0.0884,0.886,0.743,157.6
RHT,0.7861,0.08,1.587,0.836,53.7
RCD,0.8256,0.0825,1.157,0.775,22.9
RFCA,0.8461,0.0873,0.949,0.75,180.1
Nurunnabi,0.8137,0.086,1.331,0.768,596.9
Guo,0.7928,0.1,1.626,0.733,6077.6
Greco,0.8497,0.0883,0.872,0.751,232.2
Qi,0.8483,0.0891,0.856,0.765,530.4
