Method,0 outliers,1 outliers,2 outliers,3 outliers,4 outliers,5 outliers,Mean
3C-FBI,0.99,0.989,0.989,0.988,0.987,0.989,0.989
RHT,0.983,0.98,0.981,0.98,0.979,0.978,0.98
RCD,0.987,0.987,0.987,0.986,0.987,0.987,0.987
RFCA,0.992,0.991,0.99,0.986,0.984,0.983,0.987
Nurunnabi,0.991,0.946,0.857,0.755,0.748,0.728,0.838
Guo,0.989,0.578,0.499,0.41,0.349,0.34,0.528
Greco,0.989,0.987,0.989,0.987,0.988,0.989,0.988
Qi,0.992,0.992,0.982,0.99,0.977,0.991,0.987
