Baseline,HL,CI_lo,CI_hi,W_stat,p_value,r_rb,Stars,n_better,n_worse,n_tie
RHT,0.0907,0.0826,0.0987,101.0,1.810078101933007e-24,-0.981,***,138,6,0
RCD,0.0366,0.03,0.0433,1048.0,8.778682027703372e-17,-0.799,***,117,27,0
RFCA,0.0045,0.0005,0.0088,4109.0,0.02671395924570569,-0.213,*,79,65,0
Nurunnabi,0.0518,0.0433,0.0611,569.0,1.7677153257570882e-20,-0.891,***,125,19,0
Guo,0.0821,0.068,0.096,313.0,1.2924442051880456e-22,-0.94,***,129,15,0
Greco,-0.001,-0.0034,0.0016,4834.0,0.4414176456175931,-0.074,ns,66,78,0
Qi,-0.0008,-0.003,0.002,4932.0,0.5657244357543801,-0.055,ns,62,82,0
