Method,Wins,Pct
CIBICA,13,4.1
3C-FBI-3,99,30.9
3C-FBI-5,27,8.4
RHT,18,5.6
RCD,4,1.2
RFCA,94,29.4
Nurunnabi,7,2.2
Guo,4,1.2
Greco,8,2.5
Qi,46,14.4
