Method,Jaccard_mean,Jaccard_std,AD_px,RMSE_px,FPS
CIBICA,0.8519,0.088,0.87,0.73,326.6
3C-FBI,0.851,0.0867,0.862,0.739,162.9
RHT,0.786,0.0794,1.578,0.851,53.0
RCD,0.8259,0.0827,1.164,0.773,22.6
RFCA,0.8461,0.0873,0.949,0.75,176.1
Nurunnabi,0.8144,0.086,1.322,0.765,584.7
Guo,0.7928,0.1,1.626,0.733,5528.7
Greco,0.8497,0.0883,0.872,0.751,226.0
Qi,0.8483,0.0891,0.856,0.765,517.5
