Method,0out_s,0out_fps,1out_s,1out_fps,2out_s,2out_fps,3out_s,3out_fps,4out_s,4out_fps,5out_s,5out_fps,Mean_FPS
CIBICA,0.001247,802.2,0.001281,780.4,0.001341,745.5,0.001278,782.7,0.001343,744.4,0.001272,786.4,773.0
3C-FBI,0.004957,201.7,0.004968,201.3,0.004956,201.8,0.004794,208.6,0.004812,207.8,0.004651,215.0,205.9
RHT,0.018905,52.9,0.018846,53.1,0.018726,53.4,0.018689,53.5,0.018984,52.7,0.01878,53.2,53.1
RCD,0.057015,17.5,0.056882,17.6,0.056594,17.7,0.057334,17.4,0.057991,17.2,0.057882,17.3,17.5
RFCA,0.006483,154.3,0.00646,154.8,0.006475,154.5,0.006305,158.6,0.006253,159.9,0.006553,152.6,155.7
Nurunnabi,0.001686,593.0,0.00171,584.9,0.001689,592.0,0.001686,593.0,0.001702,587.5,0.001683,594.2,590.7
Guo,0.000125,8008.8,0.000195,5120.4,0.000215,4653.4,0.000194,5147.6,0.00023,4351.2,0.000229,4361.1,5048.6
Greco,0.005329,187.7,0.005558,179.9,0.00526,190.1,0.005243,190.7,0.005288,189.1,0.005214,191.8,188.1
Qi,0.001601,624.8,0.001819,549.8,0.001705,586.5,0.001467,681.6,0.001653,605.0,0.001759,568.4,599.8
