Filename,GL70,GL72,GL74,GL76,GL78,GL80,GL82,GL84,GL86,Med3,Med5,Med7,Med9,Med11,Med13,Med15,Med17,Med19
05571583_2020023_Feet_L_S_0,0.7583388297901448,0.7870249462845097,0.7933829611703687,0.7789329890142852,0.772326191016916,0.7768176949157302,0.7871256169992401,0.7898531235801393,0.9230651687833838,0.6351800399284586,0.6673546444940791,0.7108015506947288,0.7363814525004772,0.750294750429972,0.819127512739946,0.8155231885980383,0.8000978525582872,0.8003678025305323
05571583_2020023_Feet_L_S_1,0.7699720263400945,0.7798637790919953,0.7881847122880187,0.7831101551328573,0.7860418866291122,0.7935864079673022,0.7928653526552686,0.7743760610270286,0.7702116034274938,0.6886403192795175,0.7156040103296567,0.7838320322938763,0.7742958633178524,0.8081252959001298,0.8004236038305985,0.8559047864703507,0.8539999760605077,0.8261915262005454
05571583_2020023_Feet_L_S_2,0.37987860156127196,0.39169696499655365,0.4321215760313949,0.43404584146413283,0.438754594486489,0.4711937288672002,0.46310332667825804,0.4713915089016092,0.4700287616499748,0.5380714278754914,0.530015903183756,0.5214497874128698,0.5010155521538511,0.49803064126014146,0.4797318653431588,0.4768268695917102,0.8459866921060699,0.7980881423863925
05571583_2020023_Feet_L_S_3,0.767797814944473,0.7751302456128023,0.7755184368872263,0.7761989896947135,0.7761989896947135,0.780061777878666,0.7799182798962232,0.7932790387707627,0.9558243100746477,0.6888172264749064,0.7435308944286004,0.789576316252264,0.8343492976500037,0.9324109215484698,0.7279634284685496,0.710902522156551,0.6714215398032128,0.6493151996057123
05571583_2020023_Feet_R_S_0,0.6176552046152342,0.6311667978148718,0.6509670878376321,0.6535124340622431,0.6757737995396086,0.6768136349754478,0.6642137643038311,0.685258724176847,0.7017943559817236,0.6642887884811749,0.7580777041576484,0.8066801886512975,0.8521360564906664,0.9010011831431305,0.9007710274159652,0.8590317206510195,0.7872093378793832,0.7347251160736498
05571583_2020023_Feet_R_S_1,0.5953310439472619,0.6041821212790578,0.6327438641856761,0.6436750578952665,0.636643342556285,0.6479253898545937,0.6535740796738048,0.6717902517208895,0.6569760915402594,0.7834905511262715,0.823190664153715,0.8542708516247022,0.8660467154024428,0.8686636804495179,0.7542073475342363,0.6929424289802166,0.6493078088628866,0.5621676081837564
05571583_2020023_Feet_R_S_2,0.850481860638028,0.8557828753248309,0.8686180123899528,0.8786560763807753,0.887722433285594,0.9005956078158377,0.9049472310318015,0.898089731273475,0.8973798583712624,0.7492782267912692,0.7833207179190078,0.7847723463539541,0.8548153603659806,0.786812330738723,0.7285335156625486,0.6773883098849716,0.6281866649864782,0.5550847974295865
05571583_2020023_Feet_R_S_3,0.6104826970298491,0.6094771386675131,0.6178862090327505,0.6340318458085146,0.6445881841474468,0.6423004869074781,0.6531592346167642,0.6558525020054913,0.6658912662966521,0.6696449584228654,0.715093420472406,0.7837121298148144,0.8449653618173915,0.9094060523143171,0.7733781611666691,0.6816160105081859,0.6280625854513141,0.5777176033051594
05723258_20200601_Feet_L_S_0,0.748692763232101,0.9089037397320979,0.7536425543464196,0.7390306964612643,0.7371054893367437,0.7370592992515188,0.7588743836650474,0.7595720060854013,0.8190989647383281,0.7261764185914724,0.7709130854646423,0.8041137222730063,0.896745880903376,0.8701343510730746,0.8030791069478648,0.7685523788316423,0.6880836301528821,0.621089970634461
05723258_20200601_Feet_L_S_1,0.8649823642977589,0.8678800721324157,0.8352675622295612,0.836616368483313,0.8745827908585212,0.9126557967783576,0.8474885943264842,0.7784892805477344,0.7661869917558118,0.8169237623557065,0.8477900166151606,0.8689926871555957,0.910517974631332,0.8880441330177637,0.8139282793596423,0.7930488954877163,0.7154183967085477,0.6566590583518273
05723258_20200601_Feet_L_S_2,0.8401645610346442,0.845636669939766,0.8360591392859671,0.8383052384226032,0.8326285102972947,0.8345745322320143,0.8434251991689816,0.8441813802260182,0.8030492317019203,0.8574077386860095,0.9184317846378934,0.9463351501882895,0.9481289004004985,0.9276772381332326,0.8569888884795552,0.801862479480743,0.754183594180681,0.6903432823473282
05723258_20200601_Feet_L_S_3,0.8774287076532666,0.8875234244998469,0.882613958121553,0.8676594410360826,0.8990836582222784,0.8983160401856966,0.8724609120744945,0.8476176906207664,0.8619675208220536,0.8593427780277303,0.911988165261309,0.933886375862408,0.90853166396097,0.8772503259950691,0.8420256256221827,0.7683089319298272,0.7254751725604022,0.6576367253806725
05723258_20200601_Feet_R_S_0,0.7252052297471924,0.7260293780902696,0.732672079383513,0.7380016939018682,0.7393328912574708,0.7490925551015987,0.7611701894328904,0.7542428635299955,0.7688053706367913,0.7358204276991194,0.7941784155955215,0.8142484672437743,0.8328740257672236,0.8268595967206375,0.8514168692005447,0.7445699534553369,0.6866412470670036,0.5871823795697272
05723258_20200601_Feet_R_S_1,0.7973430912204659,0.8106899689830834,0.7711252056940278,0.7745630373809649,0.8035072202689848,0.8051411034332959,0.7377150627980059,0.7270279116682496,0.7177548459462775,0.7860806031247811,0.8329876425100308,0.8355293749536523,0.8394507736696057,0.8700757482646223,0.8377525529904187,0.7798363051573146,0.7059276374651032,0.6139109176753427
05723258_20200601_Feet_R_S_2,0.7635556952281678,0.7635228849850426,0.7669518188463283,0.7669406669170271,0.7821209180568947,0.7968419174436131,0.7487355070792652,0.7575456626973006,0.7402190547137782,0.6839508888480123,0.7336063990306323,0.7717540356734103,0.8573680969341393,0.8905605338362781,0.9127333966054444,0.906880630321387,0.8739239310541609,0.8121890104112188
05723258_20200601_Feet_R_S_3,0.6013500343612771,0.633010492364172,0.6247910743985715,0.6420492085912083,0.674791597244789,0.6861229597924747,0.6670375611859096,0.6941060346523983,0.7131340186748762,0.6757561402658798,0.7089242740733049,0.6702462931536637,0.6841638069075264,0.6671551192719969,0.6663898249859015,0.7167260275819141,0.6427587771262772,0.5625292436694312
11156926_20200427_Feet_L_S_0,0.6684043666005527,0.6839392173841615,0.7065516968469286,0.716329950783743,0.7259644644457922,0.7466541827960533,0.7845179312198252,0.8859408111136704,0.878815005803525,0.6319458528776263,0.6446629915510962,0.6537732783931713,0.6797094476275659,0.6772216291085273,0.7037475821168551,0.751423401848765,0.724953484219146,0.7121438270837865
11156926_20200427_Feet_L_S_1,0.665946743210886,0.6676035672591525,0.6707859448325637,0.6753964457653907,0.7220675207136779,0.7298341205642239,0.9039031748559346,0.9072996144293906,0.9320499404116902,0.788182280345295,0.8272450450061632,0.8859963268220382,0.9037387656999051,0.8594607357974164,0.8072239029164244,0.7562086413636616,0.6982808913290867,0.6229851678885666
11156926_20200427_Feet_L_S_2,0.8014048988797904,0.8125169415340336,0.8191585372750305,0.8323038807032614,0.8353003416792569,0.8614131793415211,0.868317491965139,0.8722907629099749,0.9569754478549387,0.7461038279556652,0.7904412138643959,0.8175755500997052,0.8365641603824922,0.8233776599459309,0.7916560683668105,0.778864730771096,0.6794755920552749,0.5965845277126712
11156926_20200427_Feet_L_S_3,0.8063715564685855,0.8048159681475335,0.8282798226757303,0.8342669784694445,0.8389362473493308,0.8452527630103789,0.8646468169513377,0.8981588669205149,0.8944459835949999,0.7048212602869486,0.7454258276569584,0.7949565195463708,0.8564256985263639,0.8774231188106179,0.8753112216729203,0.8341870922370551,0.772290604536628,0.6798954707275648
11156926_20200427_Feet_R_S_0,0.8935529301514247,0.8947920807741456,0.8945314891198994,0.9128559283343629,0.8725775968288589,0.8390338122460623,0.7408412726825255,0.7000314917406792,0.6291642210702855,0.9142339197445218,0.9359426909963644,0.8674403633026468,0.812126206385934,0.7646456307314407,0.6633940699635295,0.603324043486986,0.5250887484886204,0.47292620195238955
11156926_20200427_Feet_R_S_1,0.8813106570168019,0.8963664427268606,0.8571646373517617,0.8862894449207309,0.9100918483688386,0.803902732979777,0.7831499784588755,0.7673605754933621,0.7062257089571955,0.8562727534426426,0.9016346378971323,0.8701030475618288,0.7994023873942202,0.7499558816730438,0.6777010238153262,0.6064146288074646,0.5492439915442724,0.4913790773170104
11156926_20200427_Feet_R_S_2,0.9247260576250325,0.925781986058337,0.9286387649016186,0.9194823651649674,0.908988393695242,0.8903440061821544,0.8278537062213186,0.8172868307599245,0.7879443532134921,0.8720378135066985,0.8887659832164595,0.8732770006112891,0.8137832385515154,0.7378003518402617,0.6782382640622866,0.6185952569302382,0.5493646695020042,0.49446372132083677
11156926_20200427_Feet_R_S_3,0.8028838922656714,0.8232782593157697,0.8331997474337395,0.832225841666551,0.8527280842535268,0.8548954041468987,0.853341166614608,0.8554815611687081,0.8546893253254937,0.8673866144234517,0.8730863298077729,0.8901226348938762,0.888492473974702,0.8760886205735859,0.8616148887897079,0.8124667036622434,0.7149158996986007,0.6458978051250662
12405045_2020023_Feet_L_S_0,0.6640209838727263,0.6878817791033863,0.6849174479502754,0.6988283858634884,0.7047696068403333,0.6682507007847147,0.6699612080865519,0.6733596925504788,0.6922446098379769,0.5859380389797246,0.7207049450801049,0.8022848088903517,0.7935840559030937,0.7228440787403995,0.6518572830317055,0.6017027601530912,0.513936526701202,0.4086015460953171
12405045_2020023_Feet_L_S_1,0.8665842934948375,0.8711741503843884,0.9145414316120927,0.9146123904456651,0.9184272300751583,0.9204027692603617,0.9402445630399692,0.9337105563718444,0.9343718403531737,0.8490373493056375,0.8263167266767959,0.8943090487943358,0.8054778129968585,0.8039579820267183,0.7657954125458619,0.6952615147330959,0.6131390097779794,0.530315979568369
12405045_2020023_Feet_L_S_2,0.7713255249519363,0.7704858298058936,0.7703432816430423,0.766762178595235,0.7664353080860686,0.7600742016678289,0.7427425738626091,0.7489125661013285,0.6763656221897116,0.8155322292094782,0.7761463803620704,0.787335582610306,0.8129554763586831,0.7612911013242298,0.685203195815808,0.61245562898061,0.5328547136049848,0.4385303208615058
12405045_2020023_Feet_L_S_3,0.9072817121647591,0.910053615622114,0.9039788501500823,0.9094411080839334,0.9074798993413021,0.9059302817063182,0.8989381678500803,0.7745893484102555,0.7722245706143738,0.7952324888653493,0.7766573106680131,0.7393821699670311,0.7248887544352585,0.6973887017770771,0.645645865191406,0.5974157062165247,0.5083549706640352,0.4410156197427185
12405045_2020023_Feet_R_S_0,0.7247131851545718,0.7268948407542786,0.7287403869659428,0.7415968501179842,0.7540558202453826,0.760564451279091,0.7256716905063183,0.7273702693377784,0.7419745251625599,0.7097321059307673,0.7568190045586363,0.8118540106753201,0.8471158209473226,0.8634365166635496,0.8939256807656392,0.790628282021763,0.7078809116248371,0.6371322760685657
12405045_2020023_Feet_R_S_1,0.8659372135905796,0.8790104826240946,0.8065855332671291,0.8094075934767115,0.8109271755520113,0.8162339555167895,0.8173996841718324,0.9037680494675299,0.8196265471372624,0.6962725400997801,0.7564422746405197,0.8166993133053406,0.8330007606738414,0.8728702975976124,0.7676896941911875,0.7188960831431047,0.6443069823323231,0.5527346071881815
12405045_2020023_Feet_R_S_2,0.8709910470741601,0.7985528219311847,0.8061660572227421,0.8078103963642637,0.8079445112200189,0.814662438807428,0.9261740805362922,0.8086372314365787,0.8138066233566128,0.752760360215462,0.7751507412324237,0.7954902945293794,0.850045658953163,0.892959500902662,0.8810260432825434,0.8412095704435383,0.7570252654772175,0.7024936193908542
12405045_2020023_Feet_R_S_3,0.775145494965527,0.775145494965527,0.7504416520122571,0.7564161927616044,0.7650967501918174,0.7882791950490283,0.7422097841911093,0.7682821339728045,0.7822665807179215,0.7325250799480263,0.77944965303744,0.8571925364181154,0.8825024060272765,0.9047951789516713,0.8827322881298411,0.8206394647967592,0.7397775837296175,0.6626332391280629
