Baseline,HL,CI_lo,CI_hi,W_stat,p_value,r_rb,Stars,n_better,n_worse,n_tie
RHT,0.0872,0.0798,0.0947,33.0,4.434226533924862e-25,-0.994,***,142,2,0
RCD,0.0338,0.0276,0.0403,1085.0,1.6317102012144268e-16,-0.792,***,116,28,0
RFCA,0.0023,-0.0008,0.0059,4516.0,0.16032173407086958,-0.135,ns,73,71,0
Nurunnabi,0.0511,0.0424,0.0603,397.0,6.677849566979825e-22,-0.924,***,128,16,0
Guo,0.0811,0.0662,0.0953,374.0,4.271185495468406e-22,-0.928,***,124,20,0
Greco,-0.0032,-0.0064,0.0,4222.0,0.04655615710121475,-0.191,*,62,82,0
Qi,-0.0015,-0.0042,0.0014,4669.0,0.2718283786537745,-0.106,ns,70,74,0
