Method,Mean_time_s,Mean_FPS,Noise0_FPS
CIBICA,0.003657,273.4,365.7
3C-FBI,0.006756,148.0,170.1
RHT,0.018326,54.6,54.8
RCD,0.047903,20.9,21.9
RFCA,0.006274,159.4,129.4
Nurunnabi,0.001663,601.4,607.1
Guo,0.000132,7581.4,9430.3
Greco,0.004476,223.4,225.8
Qi,0.001934,517.0,656.6
