Method,Jaccard_mean,Jaccard_std,AD_px,RMSE_px,FPS
3C-FBI,0.8952,0.0507,0.773,0.428,140.7
RHT,0.8071,0.0591,1.659,0.546,53.6
RCD,0.8602,0.053,1.124,0.45,22.5
RFCA,0.8895,0.0567,0.821,0.44,175.6
Nurunnabi,0.8405,0.0678,1.345,0.483,594.7
Guo,0.8088,0.0952,1.8,0.449,6233.2
Greco,0.8963,0.053,0.74,0.452,229.4
Qi,0.8956,0.0517,0.727,0.454,564.7
