Method,Jaccard_mean,Jaccard_std,AD_px,RMSE_px,FPS
CIBICA,0.8969,0.0533,0.765,0.409,264.8
3C-FBI,0.8958,0.0493,0.758,0.431,147.7
RHT,0.811,0.0543,1.634,0.543,52.7
RCD,0.8601,0.0531,1.138,0.444,22.2
RFCA,0.8895,0.0567,0.821,0.44,171.0
Nurunnabi,0.8397,0.0665,1.358,0.481,580.6
Guo,0.8088,0.0952,1.8,0.449,5678.7
Greco,0.8963,0.053,0.74,0.452,222.7
Qi,0.8956,0.0517,0.727,0.454,552.0
