Method_A,Method_B,Mean_A,Mean_B,Delta,W_stat,p_value,Stars
CIBICA,3C-FBI,0.8987,0.8952,0.0034,3857.0,0.006563082321652418,**
CIBICA,RHT,0.8987,0.8071,0.0916,78.0,1.1270992892077031e-24,***
CIBICA,RCD,0.8987,0.8602,0.0385,816.0,1.5928917722545398e-18,***
CIBICA,RFCA,0.8987,0.8895,0.0092,3374.0,0.00023187855690103644,***
CIBICA,Nurunnabi,0.8987,0.8405,0.0582,336.0,2.031885193866492e-22,***
CIBICA,Guo,0.8987,0.8088,0.0899,299.0,9.803199424757265e-23,***
CIBICA,Greco,0.8987,0.8963,0.0024,4400.0,0.10197996615461163,ns
CIBICA,Qi,0.8987,0.8956,0.0031,4367.0,0.08891638736689836,ns
3C-FBI,RHT,0.8952,0.8071,0.0882,69.0,9.358594601459873e-25,***
3C-FBI,RCD,0.8952,0.8602,0.035,766.0,6.52967539405989e-19,***
3C-FBI,RFCA,0.8952,0.8895,0.0058,4340.0,0.0792613788913783,ns
3C-FBI,Nurunnabi,0.8952,0.8405,0.0548,289.0,8.042978378130605e-23,***
3C-FBI,Guo,0.8952,0.8088,0.0864,362.0,3.380072005246333e-22,***
3C-FBI,Greco,0.8952,0.8963,-0.001,4475.0,0.13734346201322364,ns
3C-FBI,Qi,0.8952,0.8956,-0.0003,4949.0,0.5888822534587851,ns
RHT,RCD,0.8071,0.8602,-0.0531,328.0,1.736434270625705e-22,***
RHT,RFCA,0.8071,0.8895,-0.0824,61.0,7.930765073254841e-25,***
RHT,Nurunnabi,0.8071,0.8405,-0.0334,1584.0,4.128180269226668e-13,***
RHT,Guo,0.8071,0.8088,-0.0017,4653.0,0.2581516541120843,ns
RHT,Greco,0.8071,0.8963,-0.0892,108.0,2.0899343032141404e-24,***
RHT,Qi,0.8071,0.8956,-0.0885,83.0,1.2495804788388604e-24,***
RCD,RFCA,0.8602,0.8895,-0.0293,999.0,3.830999089299349e-17,***
RCD,Nurunnabi,0.8602,0.8405,0.0197,3000.0,9.539529697363267e-06,***
RCD,Guo,0.8602,0.8088,0.0514,2056.0,2.790729854082192e-10,***
RCD,Greco,0.8602,0.8963,-0.0361,1082.0,1.5520360191238383e-16,***
RCD,Qi,0.8602,0.8956,-0.0354,1129.0,3.3865130838413795e-16,***
RFCA,Nurunnabi,0.8895,0.8405,0.049,100.0,1.7732547691920472e-24,***
RFCA,Guo,0.8895,0.8088,0.0807,227.0,2.3372389011089508e-23,***
RFCA,Greco,0.8895,0.8963,-0.0068,3979.0,0.013326162500608618,*
RFCA,Qi,0.8895,0.8956,-0.0061,4253.0,0.05379391158258426,ns
Nurunnabi,Guo,0.8405,0.8088,0.0317,2047.0,2.4847513310130507e-10,***
Nurunnabi,Greco,0.8405,0.8963,-0.0558,446.0,1.7183554489881527e-21,***
Nurunnabi,Qi,0.8405,0.8956,-0.0551,497.0,4.549718856288964e-21,***
Guo,Greco,0.8088,0.8963,-0.0875,393.0,6.1794117536115205e-22,***
Guo,Qi,0.8088,0.8956,-0.0868,388.0,5.607855232522341e-22,***
Greco,Qi,0.8963,0.8956,0.0007,4968.0,0.6152703427750752,ns
