Method,Config,Time_s,FPS
CIBICA,GL70,0.002879,347.4
CIBICA,GL72,0.00288,347.3
CIBICA,GL74,0.002983,335.2
CIBICA,GL76,0.002946,339.4
CIBICA,GL78,0.003132,319.3
CIBICA,GL80,0.003401,294.1
CIBICA,GL82,0.003845,260.1
CIBICA,GL84,0.004084,244.9
CIBICA,GL86,0.004609,217.0
CIBICA,Med3,0.003301,302.9
CIBICA,Med5,0.003164,316.1
CIBICA,Med7,0.002985,335.0
CIBICA,Med9,0.003092,323.4
CIBICA,Med11,0.002828,353.6
CIBICA,Med13,0.002631,380.1
CIBICA,Med15,0.002329,429.4
CIBICA,Med17,0.002128,469.9
CIBICA,Med19,0.001898,527.0
3C-FBI,GL70,0.00757,132.1
3C-FBI,GL72,0.005818,171.9
3C-FBI,GL74,0.005923,168.8
3C-FBI,GL76,0.00593,168.6
3C-FBI,GL78,0.006166,162.2
3C-FBI,GL80,0.006364,157.1
3C-FBI,GL82,0.006785,147.4
3C-FBI,GL84,0.007158,139.7
3C-FBI,GL86,0.00759,131.7
3C-FBI,Med3,0.006311,158.5
3C-FBI,Med5,0.006203,161.2
3C-FBI,Med7,0.005966,167.6
3C-FBI,Med9,0.00592,168.9
3C-FBI,Med11,0.005786,172.8
3C-FBI,Med13,0.005604,178.4
3C-FBI,Med15,0.005309,188.4
3C-FBI,Med17,0.00516,193.8
3C-FBI,Med19,0.004923,203.1
RHT,GL70,0.018876,53.0
RHT,GL72,0.018844,53.1
RHT,GL74,0.018898,52.9
RHT,GL76,0.018842,53.1
RHT,GL78,0.018868,53.0
RHT,GL80,0.018912,52.9
RHT,GL82,0.019021,52.6
RHT,GL84,0.018989,52.7
RHT,GL86,0.019072,52.4
RHT,Med3,0.018986,52.7
RHT,Med5,0.018997,52.6
RHT,Med7,0.018903,52.9
RHT,Med9,0.018915,52.9
RHT,Med11,0.018874,53.0
RHT,Med13,0.018906,52.9
RHT,Med15,0.018717,53.4
RHT,Med17,0.018691,53.5
RHT,Med19,0.01854,53.9
RCD,GL70,0.043797,22.8
RCD,GL72,0.04381,22.8
RCD,GL74,0.044051,22.7
RCD,GL76,0.04417,22.6
RCD,GL78,0.044295,22.6
RCD,GL80,0.04469,22.4
RCD,GL82,0.045059,22.2
RCD,GL84,0.045116,22.2
RCD,GL86,0.045356,22.0
RCD,Med3,0.046395,21.6
RCD,Med5,0.045985,21.7
RCD,Med7,0.045432,22.0
RCD,Med9,0.044842,22.3
RCD,Med11,0.044382,22.5
RCD,Med13,0.043685,22.9
RCD,Med15,0.042538,23.5
RCD,Med17,0.041121,24.3
RCD,Med19,0.040117,24.9
RFCA,GL70,0.005828,171.6
RFCA,GL72,0.005755,173.8
RFCA,GL74,0.005972,167.4
RFCA,GL76,0.005696,175.6
RFCA,GL78,0.005929,168.7
RFCA,GL80,0.00585,170.9
RFCA,GL82,0.005833,171.4
RFCA,GL84,0.00586,170.7
RFCA,GL86,0.005837,171.3
RFCA,Med3,0.005694,175.6
RFCA,Med5,0.005548,180.2
RFCA,Med7,0.005645,177.2
RFCA,Med9,0.005732,174.5
RFCA,Med11,0.00579,172.7
RFCA,Med13,0.005607,178.4
RFCA,Med15,0.005402,185.1
RFCA,Med17,0.005158,193.9
RFCA,Med19,0.005089,196.5
Nurunnabi,GL70,0.001712,584.0
Nurunnabi,GL72,0.001699,588.5
Nurunnabi,GL74,0.001719,581.7
Nurunnabi,GL76,0.001709,585.0
Nurunnabi,GL78,0.001714,583.5
Nurunnabi,GL80,0.001733,577.2
Nurunnabi,GL82,0.001723,580.5
Nurunnabi,GL84,0.001712,584.1
Nurunnabi,GL86,0.001722,580.7
Nurunnabi,Med3,0.001728,578.8
Nurunnabi,Med5,0.001717,582.5
Nurunnabi,Med7,0.001701,588.1
Nurunnabi,Med9,0.001707,586.0
Nurunnabi,Med11,0.001704,586.8
Nurunnabi,Med13,0.001703,587.0
Nurunnabi,Med15,0.001699,588.6
Nurunnabi,Med17,0.001695,589.9
Nurunnabi,Med19,0.001688,592.3
Guo,GL70,0.000189,5298.1
Guo,GL72,0.000173,5783.4
Guo,GL74,0.000158,6311.3
Guo,GL76,0.000167,5989.6
Guo,GL78,0.000168,5941.1
Guo,GL80,0.00016,6254.9
Guo,GL82,0.000179,5593.6
Guo,GL84,0.00019,5273.2
Guo,GL86,0.000185,5416.5
Guo,Med3,0.000236,4235.4
Guo,Med5,0.000225,4440.0
Guo,Med7,0.000223,4486.4
Guo,Med9,0.000226,4417.1
Guo,Med11,0.000211,4746.2
Guo,Med13,0.000177,5663.6
Guo,Med15,0.000145,6876.1
Guo,Med17,0.000128,7841.6
Guo,Med19,0.000117,8572.7
Greco,GL70,0.00431,232.0
Greco,GL72,0.004375,228.6
Greco,GL74,0.004428,225.8
Greco,GL76,0.004432,225.6
Greco,GL78,0.004403,227.1
Greco,GL80,0.004451,224.7
Greco,GL82,0.004485,223.0
Greco,GL84,0.004535,220.5
Greco,GL86,0.004501,222.2
