Method_A,Method_B,Mean_A,Mean_B,Delta,W_stat,p_value,Stars
CIBICA,3C-FBI,0.8968,0.8946,0.0022,3950.0,0.011316627154440297,*
CIBICA,RHT,0.8968,0.8082,0.0885,46.0,5.810528498496927e-25,***
CIBICA,RCD,0.8968,0.8614,0.0354,1302.0,5.553991615878024e-15,***
CIBICA,RFCA,0.8968,0.8895,0.0073,3709.0,0.0025834328848383854,**
CIBICA,Nurunnabi,0.8968,0.8403,0.0565,457.0,2.1217618215734796e-21,***
CIBICA,Guo,0.8968,0.8088,0.088,307.0,1.1481679978948577e-22,***
CIBICA,Greco,0.8968,0.8963,0.0005,4972.0,0.6208913298165695,ns
CIBICA,Qi,0.8968,0.8956,0.0012,4538.0,0.17379334010842173,ns
3C-FBI,RHT,0.8946,0.8082,0.0864,33.0,4.434226533924862e-25,***
3C-FBI,RCD,0.8946,0.8614,0.0332,1085.0,1.6317102012144268e-16,***
3C-FBI,RFCA,0.8946,0.8895,0.0051,4516.0,0.16032173407086958,ns
3C-FBI,Nurunnabi,0.8946,0.8403,0.0543,397.0,6.677849566979825e-22,***
3C-FBI,Guo,0.8946,0.8088,0.0858,374.0,4.271185495468406e-22,***
3C-FBI,Greco,0.8946,0.8963,-0.0017,4222.0,0.04655615710121475,*
3C-FBI,Qi,0.8946,0.8956,-0.001,4669.0,0.2718283786537745,ns
RHT,RCD,0.8082,0.8614,-0.0531,198.0,1.3043741406955772e-23,***
RHT,RFCA,0.8082,0.8895,-0.0812,30.0,4.165671301867282e-25,***
RHT,Nurunnabi,0.8082,0.8403,-0.032,1523.0,1.6690129784087417e-13,***
RHT,Guo,0.8082,0.8088,-0.0005,4779.0,0.37913660109527636,ns
RHT,Greco,0.8082,0.8963,-0.088,52.0,6.581147678929278e-25,***
RHT,Qi,0.8082,0.8956,-0.0873,68.0,9.16705173706974e-25,***
RCD,RFCA,0.8614,0.8895,-0.0281,1380.0,1.8866136379638456e-14,***
RCD,Nurunnabi,0.8614,0.8403,0.0211,3067.0,1.7569024633999414e-05,***
RCD,Guo,0.8614,0.8088,0.0526,2085.0,4.048548876579746e-10,***
RCD,Greco,0.8614,0.8963,-0.0349,1302.0,5.553991615878024e-15,***
RCD,Qi,0.8614,0.8956,-0.0342,1369.0,1.5900623656933043e-14,***
RFCA,Nurunnabi,0.8895,0.8403,0.0492,168.0,7.109719657920439e-24,***
RFCA,Guo,0.8895,0.8088,0.0807,227.0,2.3372389011089508e-23,***
RFCA,Greco,0.8895,0.8963,-0.0068,3979.0,0.013326162500608618,*
RFCA,Qi,0.8895,0.8956,-0.0061,4253.0,0.05379391158258426,ns
Nurunnabi,Guo,0.8403,0.8088,0.0315,2025.0,1.8681921212453457e-10,***
Nurunnabi,Greco,0.8403,0.8963,-0.056,593.0,2.766431489194925e-20,***
Nurunnabi,Qi,0.8403,0.8956,-0.0553,587.0,2.473917852263998e-20,***
Guo,Greco,0.8088,0.8963,-0.0875,393.0,6.1794117536115205e-22,***
Guo,Qi,0.8088,0.8956,-0.0868,388.0,5.607855232522341e-22,***
Greco,Qi,0.8963,0.8956,0.0007,4968.0,0.6152703427750752,ns
