Method,Jaccard_mean,Jaccard_std,AD_px,RMSE_px,FPS
CIBICA,0.8992,0.0495,0.745,0.407,278.7
3C-FBI,0.8962,0.0491,0.749,0.425,151.6
RHT,0.8074,0.057,1.646,0.551,53.8
RCD,0.8603,0.0519,1.143,0.427,22.7
RFCA,0.8895,0.0567,0.821,0.44,174.3
Nurunnabi,0.842,0.0696,1.334,0.489,592.4
Guo,0.8088,0.0952,1.8,0.449,6407.8
Greco,0.8963,0.053,0.74,0.452,228.2
Qi,0.8956,0.0517,0.727,0.454,569.6
