Method,Best_Config,Jaccard_mean,Jaccard_std,AD_px,RMSE_px,FPS
CIBICA,GL82,0.8995,0.0436,0.744,0.39,274.8
3C-FBI-3,GL82,0.8959,0.0469,0.776,0.416,147.1
3C-FBI-5,GL82,0.8906,0.0515,0.855,0.412,124.2
RHT,Med11,0.8233,0.0672,1.512,0.616,53.8
RCD,GL80,0.8646,0.0458,1.129,0.406,22.5
RFCA,GL82,0.8904,0.0563,0.812,0.433,174.2
Nurunnabi,Med11,0.8522,0.0721,1.212,0.562,592.3
Guo,Med9,0.8394,0.0859,1.389,0.559,4658.5
Greco,GL80,0.8996,0.0402,0.731,0.419,230.2
Qi,GL84,0.8959,0.0568,0.727,0.45,517.0
