Method,Config,Time_s,FPS
CIBICA,GL70,0.002735,365.7
CIBICA,GL72,0.002788,358.7
CIBICA,GL74,0.002814,355.4
CIBICA,GL76,0.002815,355.2
CIBICA,GL78,0.002993,334.1
CIBICA,GL80,0.003213,311.3
CIBICA,GL82,0.003621,276.2
CIBICA,GL84,0.003932,254.4
CIBICA,GL86,0.004455,224.5
CIBICA,Med3,0.003104,322.2
CIBICA,Med5,0.002998,333.5
CIBICA,Med7,0.002807,356.3
CIBICA,Med9,0.002813,355.4
CIBICA,Med11,0.002742,364.7
CIBICA,Med13,0.002512,398.1
CIBICA,Med15,0.002215,451.5
CIBICA,Med17,0.00201,497.5
CIBICA,Med19,0.001813,551.5
3C-FBI,GL70,0.007009,142.7
3C-FBI,GL72,0.005798,172.5
3C-FBI,GL74,0.005769,173.3
3C-FBI,GL76,0.005786,172.8
3C-FBI,GL78,0.006016,166.2
3C-FBI,GL80,0.006244,160.2
3C-FBI,GL82,0.006598,151.6
3C-FBI,GL84,0.006941,144.1
3C-FBI,GL86,0.007605,131.5
3C-FBI,Med3,0.006056,165.1
3C-FBI,Med5,0.005957,167.9
3C-FBI,Med7,0.005747,174.0
3C-FBI,Med9,0.005779,173.0
3C-FBI,Med11,0.005702,175.4
3C-FBI,Med13,0.005481,182.4
3C-FBI,Med15,0.005197,192.4
3C-FBI,Med17,0.004983,200.7
3C-FBI,Med19,0.00481,207.9
RHT,GL70,0.018466,54.2
RHT,GL72,0.018494,54.1
RHT,GL74,0.018483,54.1
RHT,GL76,0.018489,54.1
RHT,GL78,0.018582,53.8
RHT,GL80,0.018618,53.7
RHT,GL82,0.018588,53.8
RHT,GL84,0.018565,53.9
RHT,GL86,0.01857,53.8
RHT,Med3,0.018628,53.7
RHT,Med5,0.018535,54.0
RHT,Med7,0.018498,54.1
RHT,Med9,0.018463,54.2
RHT,Med11,0.018538,53.9
RHT,Med13,0.01835,54.5
RHT,Med15,0.018402,54.3
RHT,Med17,0.018281,54.7
RHT,Med19,0.018259,54.8
RCD,GL70,0.042943,23.3
RCD,GL72,0.043052,23.2
RCD,GL74,0.043165,23.2
RCD,GL76,0.043428,23.0
RCD,GL78,0.043686,22.9
RCD,GL80,0.043932,22.8
RCD,GL82,0.043984,22.7
RCD,GL84,0.044223,22.6
RCD,GL86,0.046476,21.5
RCD,Med3,0.045516,22.0
RCD,Med5,0.045148,22.1
RCD,Med7,0.044594,22.4
RCD,Med9,0.04406,22.7
RCD,Med11,0.043501,23.0
RCD,Med13,0.0426,23.5
RCD,Med15,0.041879,23.9
RCD,Med17,0.040683,24.6
RCD,Med19,0.039592,25.3
RFCA,GL70,0.005717,174.9
RFCA,GL72,0.00571,175.1
RFCA,GL74,0.005881,170.0
RFCA,GL76,0.005599,178.6
RFCA,GL78,0.005817,171.9
RFCA,GL80,0.005675,176.2
RFCA,GL82,0.005729,174.6
RFCA,GL84,0.005806,172.2
RFCA,GL86,0.005736,174.3
RFCA,Med3,0.005598,178.6
RFCA,Med5,0.005448,183.6
RFCA,Med7,0.005584,179.1
RFCA,Med9,0.005669,176.4
RFCA,Med11,0.005722,174.8
RFCA,Med13,0.005532,180.8
RFCA,Med15,0.005319,188.0
RFCA,Med17,0.005101,196.1
RFCA,Med19,0.00505,198.0
Nurunnabi,GL70,0.001676,596.7
Nurunnabi,GL72,0.001694,590.2
Nurunnabi,GL74,0.001686,593.2
Nurunnabi,GL76,0.001677,596.2
Nurunnabi,GL78,0.001675,596.9
Nurunnabi,GL80,0.001683,594.3
Nurunnabi,GL82,0.001684,593.7
Nurunnabi,GL84,0.001697,589.2
Nurunnabi,GL86,0.001693,590.7
Nurunnabi,Med3,0.001681,595.0
Nurunnabi,Med5,0.001687,592.6
Nurunnabi,Med7,0.001687,592.7
Nurunnabi,Med9,0.001688,592.3
Nurunnabi,Med11,0.001686,593.0
Nurunnabi,Med13,0.001677,596.1
Nurunnabi,Med15,0.001676,596.5
Nurunnabi,Med17,0.001673,597.6
Nurunnabi,Med19,0.001664,601.1
Guo,GL70,0.000155,6443.6
Guo,GL72,0.000157,6354.9
Guo,GL74,0.000142,7043.9
Guo,GL76,0.000146,6844.4
Guo,GL78,0.000148,6775.0
Guo,GL80,0.00014,7129.9
Guo,GL82,0.000156,6392.0
Guo,GL84,0.000171,5831.6
Guo,GL86,0.000165,6053.3
Guo,Med3,0.000214,4666.2
Guo,Med5,0.000201,4984.0
Guo,Med7,0.000203,4935.7
Guo,Med9,0.000201,4985.7
Guo,Med11,0.000189,5291.7
Guo,Med13,0.000154,6500.4
Guo,Med15,0.000123,8148.1
Guo,Med17,0.000108,9217.6
Guo,Med19,9.7e-05,10273.4
Greco,GL70,0.004201,238.0
Greco,GL72,0.004312,231.9
Greco,GL74,0.004306,232.3
Greco,GL76,0.004337,230.6
Greco,GL78,0.004296,232.8
Greco,GL80,0.00434,230.4
Greco,GL82,0.004354,229.7
Greco,GL84,0.004454,224.5
Greco,GL86,0.004404,227.0
Greco,Med3,0.004317,231.6
Greco,Med5,0.004398,227.4
Greco,Med7,0.004331,230.9
Greco,Med9,0.004407,226.9
Greco,Med11,0.00438,228.3
Greco,Med13,0.004328,231.0
Greco,Med15,0.00432,231.5
Greco,Med17,0.004238,235.9
Greco,Med19,0.004299,232.6
Qi,GL70,0.001883,531.1
Qi,GL72,0.001938,516.0
Qi,GL74,0.001823,548.6
Qi,GL76,0.001899,526.5
Qi,GL78,0.001698,588.8
Qi,GL80,0.00167,598.6
Qi,GL82,0.00166,602.5
Qi,GL84,0.001936,516.4
Qi,GL86,0.002055,486.6
Qi,Med3,0.001909,523.7
Qi,Med5,0.002435,410.6
Qi,Med7,0.001868,535.3
Qi,Med9,0.002022,494.6
Qi,Med11,0.001922,520.3
Qi,Med13,0.001601,624.8
Qi,Med15,0.002245,445.4
Qi,Med17,0.001743,573.7
Qi,Med19,0.001534,651.8
