Method,Config,Time_s,FPS
CIBICA,GL70,0.00273,366.3
CIBICA,GL72,0.002822,354.4
CIBICA,GL74,0.002872,348.2
CIBICA,GL76,0.002872,348.2
CIBICA,GL78,0.003048,328.0
CIBICA,GL80,0.003301,302.9
CIBICA,GL82,0.003639,274.8
CIBICA,GL84,0.003932,254.3
CIBICA,GL86,0.004425,226.0
CIBICA,Med3,0.003165,315.9
CIBICA,Med5,0.003058,327.0
CIBICA,Med7,0.002897,345.2
CIBICA,Med9,0.002868,348.6
CIBICA,Med11,0.002772,360.7
CIBICA,Med13,0.002548,392.5
CIBICA,Med15,0.00224,446.3
CIBICA,Med17,0.002023,494.2
CIBICA,Med19,0.001829,546.9
3C-FBI-3,GL70,0.005791,172.7
3C-FBI-3,GL72,0.005895,169.6
3C-FBI-3,GL74,0.005951,168.0
3C-FBI-3,GL76,0.006024,166.0
3C-FBI-3,GL78,0.006169,162.1
3C-FBI-3,GL80,0.006473,154.5
3C-FBI-3,GL82,0.006796,147.1
3C-FBI-3,GL84,0.00711,140.6
3C-FBI-3,GL86,0.007626,131.1
3C-FBI-3,Med3,0.006282,159.2
3C-FBI-3,Med5,0.006199,161.3
3C-FBI-3,Med7,0.006045,165.4
3C-FBI-3,Med9,0.006009,166.4
3C-FBI-3,Med11,0.005884,170.0
3C-FBI-3,Med13,0.005666,176.5
3C-FBI-3,Med15,0.00535,186.9
3C-FBI-3,Med17,0.005156,193.9
3C-FBI-3,Med19,0.004962,201.5
3C-FBI-5,GL70,0.007136,140.1
3C-FBI-5,GL72,0.007169,139.5
3C-FBI-5,GL74,0.007246,138.0
3C-FBI-5,GL76,0.007306,136.9
3C-FBI-5,GL78,0.007501,133.3
3C-FBI-5,GL80,0.007727,129.4
3C-FBI-5,GL82,0.008054,124.2
3C-FBI-5,GL84,0.008439,118.5
3C-FBI-5,GL86,0.008894,112.4
3C-FBI-5,Med3,0.007677,130.3
3C-FBI-5,Med5,0.007451,134.2
3C-FBI-5,Med7,0.007318,136.6
3C-FBI-5,Med9,0.007283,137.3
3C-FBI-5,Med11,0.007108,140.7
3C-FBI-5,Med13,0.006899,144.9
3C-FBI-5,Med15,0.006625,151.0
3C-FBI-5,Med17,0.006225,160.6
3C-FBI-5,Med19,0.005964,167.7
RHT,GL70,0.018651,53.6
RHT,GL72,0.01862,53.7
RHT,GL74,0.018664,53.6
RHT,GL76,0.018639,53.7
RHT,GL78,0.018725,53.4
RHT,GL80,0.018662,53.6
RHT,GL82,0.018658,53.6
RHT,GL84,0.018981,52.7
RHT,GL86,0.018747,53.3
RHT,Med3,0.018682,53.5
RHT,Med5,0.018735,53.4
RHT,Med7,0.018637,53.7
RHT,Med9,0.018705,53.5
RHT,Med11,0.01859,53.8
RHT,Med13,0.018589,53.8
RHT,Med15,0.018522,54.0
RHT,Med17,0.018537,53.9
RHT,Med19,0.018576,53.8
RCD,GL70,0.043542,23.0
RCD,GL72,0.043526,23.0
RCD,GL74,0.043806,22.8
RCD,GL76,0.043984,22.7
RCD,GL78,0.044143,22.7
RCD,GL80,0.044438,22.5
RCD,GL82,0.044551,22.4
RCD,GL84,0.044685,22.4
RCD,GL86,0.045029,22.2
RCD,Med3,0.046251,21.6
RCD,Med5,0.045638,21.9
RCD,Med7,0.045395,22.0
RCD,Med9,0.044468,22.5
RCD,Med11,0.044105,22.7
RCD,Med13,0.043049,23.2
RCD,Med15,0.042255,23.7
RCD,Med17,0.041045,24.4
RCD,Med19,0.040007,25.0
RFCA,GL70,0.005747,174.0
RFCA,GL72,0.005681,176.0
RFCA,GL74,0.005877,170.2
RFCA,GL76,0.00563,177.6
RFCA,GL78,0.005922,168.9
RFCA,GL80,0.005695,175.6
RFCA,GL82,0.005741,174.2
RFCA,GL84,0.005755,173.8
RFCA,GL86,0.005756,173.7
RFCA,Med3,0.005614,178.1
RFCA,Med5,0.005466,182.9
RFCA,Med7,0.005587,179.0
RFCA,Med9,0.005673,176.3
RFCA,Med11,0.005724,174.7
RFCA,Med13,0.005512,181.4
RFCA,Med15,0.005318,188.0
RFCA,Med17,0.005118,195.4
RFCA,Med19,0.005028,198.9
Nurunnabi,GL70,0.001692,591.1
Nurunnabi,GL72,0.001703,587.3
Nurunnabi,GL74,0.001696,589.6
Nurunnabi,GL76,0.001691,591.3
Nurunnabi,GL78,0.001713,583.7
Nurunnabi,GL80,0.001699,588.6
Nurunnabi,GL82,0.001711,584.4
Nurunnabi,GL84,0.001691,591.2
Nurunnabi,GL86,0.001707,586.0
Nurunnabi,Med3,0.001709,585.0
Nurunnabi,Med5,0.001701,588.0
Nurunnabi,Med7,0.001697,589.3
Nurunnabi,Med9,0.001693,590.8
Nurunnabi,Med11,0.001688,592.3
Nurunnabi,Med13,0.001683,594.3
Nurunnabi,Med15,0.001685,593.6
Nurunnabi,Med17,0.00167,598.8
Nurunnabi,Med19,0.001664,601.1
Guo,GL70,0.000168,5943.1
Guo,GL72,0.00017,5892.0
Guo,GL74,0.000157,6361.4
Guo,GL76,0.000161,6227.1
Guo,GL78,0.000163,6148.4
Guo,GL80,0.000153,6517.5
Guo,GL82,0.000172,5822.2
Guo,GL84,0.000187,5352.5
Guo,GL86,0.000182,5490.7
Guo,Med3,0.000233,4298.7
Guo,Med5,0.000216,4636.6
Guo,Med7,0.000218,4593.5
Guo,Med9,0.000215,4658.5
Guo,Med11,0.000202,4951.1
Guo,Med13,0.000166,6035.6
Guo,Med15,0.000137,7311.3
Guo,Med17,0.000119,8411.2
Guo,Med19,0.000111,9034.5
Greco,GL70,0.004257,234.9
Greco,GL72,0.004293,232.9
Greco,GL74,0.004319,231.5
Greco,GL76,0.004337,230.6
Greco,GL78,0.004333,230.8
Greco,GL80,0.004345,230.2
Greco,GL82,0.004385,228.1
Greco,GL84,0.004433,225.6
Greco,GL86,0.004405,227.0
Greco,Med3,0.004317,231.6
Greco,Med5,0.004407,226.9
Greco,Med7,0.004304,232.3
Greco,Med9,0.004409,226.8
Greco,Med11,0.004388,227.9
Greco,Med13,0.004326,231.1
Greco,Med15,0.00432,231.5
Greco,Med17,0.004255,235.0
Greco,Med19,0.004264,234.5
Qi,GL70,0.001905,524.8
Qi,GL72,0.001947,513.6
Qi,GL74,0.001842,543.0
Qi,GL76,0.001927,518.9
Qi,GL78,0.00173,578.2
Qi,GL80,0.001699,588.6
Qi,GL82,0.001728,578.8
Qi,GL84,0.001934,517.0
Qi,GL86,0.002009,497.7
Qi,Med3,0.001925,519.5
Qi,Med5,0.002483,402.7
Qi,Med7,0.001893,528.3
Qi,Med9,0.002041,490.1
Qi,Med11,0.001961,510.1
Qi,Med13,0.001626,614.9
Qi,Med15,0.002271,440.4
Qi,Med17,0.001776,563.1
Qi,Med19,0.001539,649.6
