Method,Best_Config,Jaccard_mean,Jaccard_std,AD_px,RMSE_px,FPS
CIBICA,GL82,0.8975,0.053,0.764,0.406,260.1
3C-FBI,GL82,0.8967,0.0469,0.756,0.42,147.4
RHT,Med9,0.8148,0.0648,1.475,0.773,52.9
RCD,GL80,0.862,0.049,1.148,0.424,22.4
RFCA,GL82,0.8904,0.0563,0.812,0.433,171.4
Nurunnabi,Med11,0.8558,0.0707,1.193,0.515,586.8
Guo,Med9,0.8394,0.0859,1.389,0.559,4417.1
Greco,GL80,0.8996,0.0402,0.731,0.419,224.7
Qi,GL84,0.8959,0.0568,0.727,0.45,504.6
