Method,Wins,Pct
CIBICA,19,5.3
3C-FBI,137,38.1
RHT,23,6.4
RCD,12,3.3
RFCA,101,28.1
Nurunnabi,9,2.5
Guo,2,0.6
Greco,7,1.9
Qi,50,13.9
