Method,Noise_pct,Outlier_pct,Q,Jaccard
3C-FBI,2,30,2,0.9879
3C-FBI,2,30,3,0.9898
3C-FBI,2,30,6,0.9932
3C-FBI,2,30,12,0.9885
3C-FBI,2,30,24,0.917
3C-FBI,2,30,40,0.67
3C-FBI,2,40,0,0.987
3C-FBI,2,40,1,0.9851
3C-FBI,2,40,2,0.9874
3C-FBI,2,40,3,0.988
3C-FBI,2,40,6,0.99
3C-FBI,2,40,12,0.9847
3C-FBI,2,40,24,0.8621
3C-FBI,2,40,40,0.6208
3C-FBI,2,50,0,0.9828
3C-FBI,2,50,1,0.9839
3C-FBI,2,50,2,0.9864
3C-FBI,2,50,3,0.9881
3C-FBI,2,50,6,0.9891
3C-FBI,2,50,12,0.975
3C-FBI,2,50,24,0.8143
3C-FBI,2,50,40,0.5731
3C-FBI,2,60,0,0.9804
3C-FBI,2,60,1,0.9801
3C-FBI,2,60,2,0.9855
3C-FBI,2,60,3,0.9854
3C-FBI,2,60,6,0.9836
3C-FBI,2,60,12,0.9576
3C-FBI,2,60,24,0.7144
3C-FBI,2,60,40,0.5222
3C-FBI,2,70,0,0.8726
3C-FBI,2,70,1,0.8722
3C-FBI,2,70,2,0.9733
3C-FBI,2,70,3,0.9748
3C-FBI,2,70,6,0.9739
3C-FBI,2,70,12,0.8967
3C-FBI,2,70,24,0.6285
3C-FBI,2,70,40,0.4876
3C-FBI,5,0,0,0.9589
3C-FBI,5,0,1,0.954
3C-FBI,5,0,2,0.9668
3C-FBI,5,0,3,0.9722
3C-FBI,5,0,6,0.9775
3C-FBI,5,0,12,0.9852
3C-FBI,5,0,24,0.979
3C-FBI,5,0,40,0.9502
3C-FBI,5,10,0,0.959
3C-FBI,5,10,1,0.9603
3C-FBI,5,10,2,0.9673
3C-FBI,5,10,3,0.9702
3C-FBI,5,10,6,0.9781
3C-FBI,5,10,12,0.9828
3C-FBI,5,10,24,0.972
3C-FBI,5,10,40,0.8296
3C-FBI,5,20,0,0.9516
3C-FBI,5,20,1,0.9554
3C-FBI,5,20,2,0.9663
3C-FBI,5,20,3,0.9691
3C-FBI,5,20,6,0.9741
3C-FBI,5,20,12,0.9803
3C-FBI,5,20,24,0.9514
3C-FBI,5,20,40,0.7424
3C-FBI,5,30,0,0.9444
3C-FBI,5,30,1,0.946
3C-FBI,5,30,2,0.9607
3C-FBI,5,30,3,0.9674
3C-FBI,5,30,6,0.9732
3C-FBI,5,30,12,0.9778
3C-FBI,5,30,24,0.9273
3C-FBI,5,30,40,0.6709
3C-FBI,5,40,0,0.943
3C-FBI,5,40,1,0.9267
3C-FBI,5,40,2,0.9627
3C-FBI,5,40,3,0.9696
3C-FBI,5,40,6,0.9713
3C-FBI,5,40,12,0.9732
3C-FBI,5,40,24,0.8707
3C-FBI,5,40,40,0.6153
3C-FBI,5,50,0,0.8822
3C-FBI,5,50,1,0.9156
3C-FBI,5,50,2,0.9548
3C-FBI,5,50,3,0.963
