Method,Jaccard_mean,Jaccard_std,AD_px,RMSE_px,FPS
3C-FBI-3,0.8501,0.0862,0.885,0.741,164.6
3C-FBI-5,0.8467,0.0869,0.953,0.737,136.3
RHT,0.7867,0.08,1.584,0.834,53.6
RCD,0.8263,0.0841,1.15,0.77,22.8
RFCA,0.8461,0.0873,0.949,0.75,178.5
Nurunnabi,0.8135,0.0863,1.332,0.774,590.3
Guo,0.7928,0.1,1.626,0.733,5755.9
Greco,0.8497,0.0883,0.872,0.751,230.5
Qi,0.8483,0.0891,0.856,0.765,525.8
