Method,Mean_time_s,Mean_FPS,Noise0_FPS
CIBICA,0.003633,275.3,371.3
3C-FBI-3,0.00667,149.9,170.3
3C-FBI-5,0.007471,133.8,153.0
RHT,0.018728,53.4,54.0
RCD,0.0478,20.9,22.0
RFCA,0.006365,157.1,127.6
Nurunnabi,0.001695,590.1,599.9
Guo,0.000139,7214.4,9663.9
Greco,0.004564,219.1,224.1
Qi,0.001975,506.3,650.1
