config,mean_Jaccard_3CFBI,mean_Jaccard_CIBICA,mean_Jaccard_HOUGH,mean_Jaccard_RHT,mean_Jaccard_RCD,mean_Jaccard_QI,mean_Jaccard_RFCA,mean_Jaccard_GUO,mean_Jaccard_GRECO,mean_Jaccard_NURUNNABI
GL70,0.8772468293087768,0.8813393059497433,0.7841986810215134,0.7997197046673781,0.8404349274520254,0.8739612717108224,0.86842086300129,0.7890201886322409,0.8802869598555927,0.8277363305001385
GL72,0.8807281085684449,0.884076344971469,0.7864602964984247,0.7974857415416883,0.8455455675625756,0.8775798024736559,0.8743632212402355,0.7955992447676625,0.8844685125978651,0.8335725482670754
GL74,0.8840130474638318,0.8883370838108056,0.799212599340177,0.8041100752585747,0.8471269963159328,0.8827496155409951,0.8782607147149616,0.7950798205107328,0.8882715514897873,0.833478968451542
GL76,0.8901243978018714,0.8946291184678713,0.8035415768999099,0.8067678726876755,0.8537921565102756,0.8874699420591495,0.8831577087386272,0.801630522201837,0.893878743195207,0.8392970896210472
GL78,0.8932681177958608,0.8987869759668605,0.8088912261480744,0.8062618925307345,0.8582923557035796,0.8913009524633004,0.8872232599677252,0.8043941850834995,0.8969240987740277,0.8441633266029576
GL80,0.8950852026091886,0.8991659876416753,0.8143496782916562,0.8035917517864741,0.8608782408195194,0.8957306868328817,0.8900010364729452,0.804946061624194,0.8995749814601921,0.843977111104638
GL82,0.8965661264849815,0.8999408094117669,0.7977226275859264,0.8040221785101055,0.8634939096312402,0.8950869060133851,0.890393166611918,0.8090784056052804,0.8958109076237627,0.8389426413757796
GL84,0.8963622671553393,0.8985576848442113,0.8080597432317549,0.8133546241930047,0.8627877419830244,0.8958651008227942,0.8880273454936395,0.8123401921975997,0.8934453426538208,0.836401664278465
GL86,0.8874106860697631,0.8887978412704677,0.8066798100925799,0.8077381536991388,0.8594980559800527,0.8924683317284712,0.8816321159802458,0.8106790196652397,0.8879378521843839,0.8372671940420623
Med3,0.7958309132840863,0.7924604471455425,0.7666184802848897,0.7368421865936956,0.7711380760915864,0.8026845408769263,0.7869186878123461,0.7721842864272068,0.7955141454516742,0.7563255644829117
Med5,0.8359038539557007,0.8341148240952401,0.7769392828848353,0.7725684770486948,0.8156274800366922,0.8390170528329419,0.8263783679656371,0.8023274083836017,0.8316050440671652,0.7986935319920513
Med7,0.8701142741867854,0.8699230712809362,0.7987300278729434,0.7908164779268196,0.844291634467406,0.8665020612268974,0.8612062467543247,0.8285679865675107,0.8617401575467423,0.8293887946097331
Med9,0.8765189114310368,0.8767289334102751,0.8083778118587812,0.8099689056431227,0.8573459308531349,0.8718221184344548,0.8728455043406869,0.8394194489363297,0.870557085999062,0.8449759873392456
Med11,0.8714443880678431,0.867462462474578,0.7862963899334819,0.823954806741138,0.8575679629585068,0.8609582467179622,0.8713382616182601,0.838412136137353,0.8607050135440597,0.8531920625126053
Med13,0.844154691477242,0.8426252962022143,0.767909995193501,0.8104265150356489,0.8347475652185627,0.8376665234933915,0.8458706759084705,0.8099786461876991,0.8387033172060969,0.8336133910744442
Med15,0.8006492395805517,0.7958086377129833,0.7511139186482044,0.7772307321546662,0.7967649198762157,0.7927026711905074,0.7999595900622043,0.7680426999318789,0.7951355602239106,0.7872837796782307
Med17,0.7481808866702658,0.7454309750111405,0.7080216471171132,0.7330002040139945,0.7404549666769689,0.7370200230008024,0.7444273818472347,0.7252579427705619,0.7425838868795848,0.7437004798331776
Med19,0.6784781124338269,0.6785454819517494,0.6653660646871656,0.6685218838455792,0.6811239625473751,0.6687859005544574,0.6785630527820193,0.6632892173392888,0.6776574635894472,0.6738139094480174
