method,config,Jaccard
CIBICA,Med7,0.3993028310152801
CIBICA,Med7,0.6909977019284658
CIBICA,Med7,0.6258510168410367
CIBICA,Med7,0.3316679157353711
CIBICA,Med7,0.6860867587575197
CIBICA,Med7,0.2861481698257476
CIBICA,Med7,0.596505282727367
CIBICA,Med7,0.690569080106123
CIBICA,Med7,0.725448694075089
CIBICA,Med7,0.7039978613779019
CIBICA,Med7,0.9686637976790466
CIBICA,Med7,0.7440082222650071
CIBICA,Med7,0.7477299798123065
CIBICA,Med7,0.9183653535647623
CIBICA,Med7,0.747484840978464
CIBICA,Med7,0.7173353642266684
CIBICA,Med7,0.3843415223199086
CIBICA,Med7,0.5606232983786287
CIBICA,Med7,0.6573906299719351
CIBICA,Med7,0.4241738587733413
CIBICA,Med7,0.6779408752939065
CIBICA,Med7,0.4488062455486166
CIBICA,Med7,0.4843417285585409
CIBICA,Med7,0.3114807833170497
CIBICA,Med7,0.0
CIBICA,Med7,0.0
CIBICA,Med7,0.0
CIBICA,Med7,0.0
CIBICA,Med7,0.7026281184787302
CIBICA,Med7,0.6396420389409205
CIBICA,Med7,0.4057491795125844
CIBICA,Med7,0.4628247017580139
CIBICA,Med7,0.5515670420137488
CIBICA,Med7,0.8959222423287319
CIBICA,Med7,0.6799044138403355
CIBICA,Med7,0.799155348748665
CIBICA,Med7,0.669046102260232
CIBICA,Med7,0.6076606778233272
CIBICA,Med7,0.8829452873631337
CIBICA,Med7,0.8482932715571472
CIBICA,Med7,0.8116739731420292
CIBICA,Med7,0.6931532719966169
CIBICA,Med7,0.6748097947464601
CIBICA,Med7,0.7261120638777271
CIBICA,Med7,0.7039140175226247
CIBICA,Med7,0.8390508429014641
CIBICA,Med7,0.5894227332715573
CIBICA,Med7,0.782171255781918
CIBICA,Med7,0.661316172843635
CIBICA,Med7,0.6852904144226134
CIBICA,Med7,0.5639255297277566
CIBICA,Med7,0.6811187418966569
CIBICA,Med7,0.9182605323324257
CIBICA,Med7,0.6192915855090796
CIBICA,Med7,0.7247776408132565
CIBICA,Med7,0.6604644864041859
CIBICA,Med7,0.5491834566495899
CIBICA,Med7,0.2887632247807339
CIBICA,Med7,0.4888650331028671
CIBICA,Med7,0.5566571306398278
CIBICA,Med7,0.3811683698466266
CIBICA,Med7,0.4891503299862295
CIBICA,Med7,0.13177004718242985
CIBICA,Med7,0.66143252473993
CIBICA,Med7,0.8289309411692194
CIBICA,Med7,0.5293952358920745
CIBICA,Med7,0.4696165748251488
CIBICA,Med7,0.6371685161865638
CIBICA,Med7,0.7884455686298992
CIBICA,Med7,0.5378877673035286
CIBICA,Med7,0.6017014802981042
CIBICA,Med7,0.7597137077476175
CIBICA,Med7,0.7332437050543349
CIBICA,Med7,0.9530045384220303
CIBICA,Med7,0.9074418519920725
CIBICA,Med7,0.6797165645608152
CIBICA,Med7,0.3107925463265871
CIBICA,Med7,0.25417835720560966
CIBICA,Med7,0.5560311366796052
CIBICA,Med7,0.8853261928773302
CIBICA,Med7,0.665989845310583
CIBICA,Med7,0.8784325371406094
CIBICA,Med7,0.41928005518086925
CIBICA,Med7,0.8374612896256022
CIBICA,Med7,0.0
CIBICA,Med7,0.0
CIBICA,Med7,0.0
CIBICA,Med7,0.0
CIBICA,Med7,0.5584172343274338
CIBICA,Med7,0.6974830166836972
CIBICA,Med7,0.6319835417638704
CIBICA,Med7,0.808484439077318
CIBICA,Med7,0.6395522558042996
CIBICA,Med7,0.3998924335869644
CIBICA,Med7,0.8390745550421344
CIBICA,Med7,0.4144164295891852
CIBICA,Med7,0.35267321575308336
CIBICA,Med7,0.5070174033601873
CIBICA,Med7,0.7997518169312547
CIBICA,Med7,0.26541782928731344
CIBICA,Med7,0.43778122151145776
CIBICA,Med7,0.7743625884019398
CIBICA,Med7,0.028649642171529946
CIBICA,Med7,0.1549172511101047
CIBICA,Med7,0.4090470097340899
CIBICA,Med7,0.1856190832205754
CIBICA,Med7,0.41910951355556525
CIBICA,Med7,0.7597638912528575
CIBICA,Med7,0.4183042098128518
CIBICA,Med7,0.44833436262932475
CIBICA,Med7,0.4513462733182764
CIBICA,Med7,0.8304480992707985
CIBICA,Med7,0.35845660728599005
CIBICA,Med7,0.6441525055144801
CIBICA,Med7,0.6508165595114596
