X,Y,R
21.8684210102361,20.6425161500954,11.6142171232387
17.6500859873685,20.5675367357975,11.7278509627187
18.5417351896673,18.5559956383975,11.5475969458499
15.4131597121217,15.4201165418201,11.9486788541361
15.7346944403471,18.2102267006503,10.4345114292873
14.3198644051399,15.6804088990434,10.8038100592126
15.6854254086201,16.1239856955767,10.8133831585636
16.1266156624109,14.8388901560220,10.4851116209706
17.7511186604846,16.7548727181257,11.3426740467198
14.6567585059172,18.1549787352071,11.1623113426829
14.5536402076757,16.7739612967724,11.2348725498668
17.0154210108914,19.2214039710874,11.3220535848430
15.5891592259388,15.5779241732901,10.4794734937036
15.0341571100171,17.4575852329728,10.0631093215728
13.8459116584117,14.4647654960155,10.1077223464128
14.3560745459874,15.2386634929764,10.2536570364866
16.8258272503077,16.4422818045507,11.1515409480549
14.4565442724559,17.8607925366714,10.5694276150378
14.6859603178773,15.5563800132660,10.7871704388356
14.1707383977420,15.6273531191909,10.5696239183788
17.8907650161480,18.4893727591705,11.9096964149653
17.8224616935261,17.6891688092234,11.9274844012487
15.5120203396168,18.2913511411635,11.8629462929852
16.9820568433098,18.1495363536146,11.6254943527454
12.1945677541844,15.5185636081033,10.1231019439396
14.0288934784856,14.4272826470549,10.2144642715440
15.1886442565896,18.3967684509590,10.0662398449132
12.6059959924638,14.2093203188249,10.5173002847918
19.1624791678033,15.4199018200366,11.6365684700900
15.7928540243434,16.2289527428828,11.5590481409636
14.8256403152554,15.5547747779416,11.1123753125508
19.9709998481934,16.8277214166891,11.1429293529795
16.3156202358540,18.4547783742515,11.8819949053971
15.9889216988129,16.1253288610523,11.9333590374105
15.9973691760354,17.9887263846212,11.5817179554265
15.6581990870771,16.8372235122070,11.7935839484968
15.7916736394081,17.4825512389013,11.6888753237718
19.6498054404923,17.9403635052628,11.8660253385464
14.0794038553852,15.6155136443398,11.8208736346712
16.8801287025459,16.7078278984802,11.8353144842137
16.0832548104566,16.4023034034328,11.9043953230808
15.0695473582474,16.4607764175258,11.7353516905505
13.9829440574325,17.2521970350210,12.0229697305661
17.5414545779526,18.1386519234179,12.5086635937505
16.1056816674371,13.5356098438600,9.5256986296507
15.3131055946069,15.4681940628723,9.6785995369309
12.0687070666258,15.4935612360786,9.6420045800979
13.7029812731156,14.3241418721448,9.6577372096360
15.7045859006404,17.5049894918774,12.9559854440890
18.1002387316819,20.1762420600373,12.3141890190542
17.7857827640642,18.7796718251198,12.4417189979115
19.0884824097969,17.4990167103799,12.5762864597043
17.5934672378934,17.6288568296851,11.6314652319563
20.1258187856923,16.8361190596932,11.7709712574068
18.9991095173126,16.0613892524176,11.9391415932786
17.2282008246856,17.0075506831876,11.5696423177463
17.3311933027491,19.2870324322341,14.1049335708009
17.8005152473394,17.8754016379196,12.8480511471893
20.2690978294169,19.5325286154533,13.3717958100733
18.0739589687355,20.3309027140327,13.4333409602895
17.9669601226621,16.2138871868018,12.2495513175126
