method,config,Jaccard
HOUGH,GL84,0.9409394010199814
HOUGH,GL84,0.8525873292723779
HOUGH,GL84,0.7287518442884185
HOUGH,GL84,0.7435454871922819
HOUGH,GL84,0.905610055209944
HOUGH,GL84,0.7734303085318462
HOUGH,GL84,0.8728422276595291
HOUGH,GL84,0.7418396812237481
HOUGH,GL84,0.9848037281231902
HOUGH,GL84,0.7901495874472707
HOUGH,GL84,0.9054099133288448
HOUGH,GL84,0.9327938010272507
HOUGH,GL84,0.8104597945750838
HOUGH,GL84,0.954637956815118
HOUGH,GL84,0.8070777469447497
HOUGH,GL84,0.8538286291856748
HOUGH,GL84,0.7261189292375653
HOUGH,GL84,0.7982643114956837
HOUGH,GL84,0.8438206375695817
HOUGH,GL84,0.6858362647285142
HOUGH,GL84,0.8547161178386886
HOUGH,GL84,0.9200532870930448
HOUGH,GL84,0.7752046861222509
HOUGH,GL84,0.82840326168321
HOUGH,GL84,0.7935557617034569
HOUGH,GL84,0.8116065769922264
HOUGH,GL84,0.8807856904836049
HOUGH,GL84,0.7105408852369002
HOUGH,GL84,0.9103144898995297
HOUGH,GL84,0.8985846712245626
HOUGH,GL84,0.85380316432854
HOUGH,GL84,0.8450906999134712
HOUGH,GL84,0.8363050413632106
HOUGH,GL84,0.9122700421715101
HOUGH,GL84,0.9206869919504134
HOUGH,GL84,0.9596705150322703
HOUGH,GL84,0.8644835054753731
HOUGH,GL84,0.794244569616
HOUGH,GL84,0.8157975770763002
HOUGH,GL84,0.8388280416912006
HOUGH,GL84,0.7971924637425791
HOUGH,GL84,0.810178213201966
HOUGH,GL84,0.8350954976017204
HOUGH,GL84,0.7520223053692994
HOUGH,GL84,0.7703327824643029
HOUGH,GL84,0.8430421814234477
HOUGH,GL84,0.8424230935081302
HOUGH,GL84,0.8342127138853983
HOUGH,GL84,0.8225301396986963
HOUGH,GL84,0.803963524697701
HOUGH,GL84,0.7797687773084747
HOUGH,GL84,0.9661855040638296
HOUGH,GL84,0.4508922632214845
HOUGH,GL84,0.6743855121529032
HOUGH,GL84,0.9337082341517914
HOUGH,GL84,0.7646653024116352
HOUGH,GL84,0.7890489687007182
HOUGH,GL84,0.8609284516089324
HOUGH,GL84,0.8316654178561736
HOUGH,GL84,0.8875128408304621
HOUGH,GL84,0.7759558158384658
HOUGH,GL84,0.6072164544674821
HOUGH,GL84,0.8385288811739403
HOUGH,GL84,0.8437556832029006
HOUGH,GL84,0.8471502566817554
HOUGH,GL84,0.7279859102181271
HOUGH,GL84,0.791776019589439
HOUGH,GL84,0.9153133687039654
HOUGH,GL84,0.755626073390529
HOUGH,GL84,0.7764236147468875
HOUGH,GL84,0.765015851082286
HOUGH,GL84,0.8826485585740631
HOUGH,GL84,0.8474897838960069
HOUGH,GL84,0.7187441947805561
HOUGH,GL84,0.763589361547719
HOUGH,GL84,0.7685511180669568
HOUGH,GL84,0.8543578819771043
HOUGH,GL84,0.8883461963001937
HOUGH,GL84,0.751881884193147
HOUGH,GL84,0.7487912687895447
HOUGH,GL84,0.7710182516851453
HOUGH,GL84,0.7737663284641715
HOUGH,GL84,0.8038417132680554
HOUGH,GL84,0.8056538235796235
HOUGH,GL84,0.6980670979884729
HOUGH,GL84,0.9314275020291329
HOUGH,GL84,0.8073517744146251
HOUGH,GL84,0.9160093548881506
HOUGH,GL84,0.6926826513015868
HOUGH,GL84,0.8021433496162635
HOUGH,GL84,0.8320719348896637
HOUGH,GL84,0.5177858749803824
HOUGH,GL84,0.7576162137363678
HOUGH,GL84,0.7698482596457935
HOUGH,GL84,0.8358557542794207
HOUGH,GL84,0.8222268456725625
HOUGH,GL84,0.8173030340567171
HOUGH,GL84,0.7377204881969663
HOUGH,GL84,0.8599775111182637
HOUGH,GL84,0.7947388988793427
HOUGH,GL84,0.6083033844211413
HOUGH,GL84,0.8074547428469134
HOUGH,GL84,0.9477951247910577
HOUGH,GL84,0.8124094992067923
HOUGH,GL84,0.8721195331430809
HOUGH,GL84,0.7852667600223929
HOUGH,GL84,0.7376513263345885
HOUGH,GL84,0.7535858332280561
HOUGH,GL84,0.7482458393285442
HOUGH,GL84,0.7948904257704741
HOUGH,GL84,0.8564697173596173
HOUGH,GL84,0.7402893513235562
HOUGH,GL84,0.7056440406871889
HOUGH,GL84,0.6510330227812102
HOUGH,GL84,0.7402563473281197
HOUGH,GL84,0.7990151637987633
HOUGH,GL84,0.8342005720122889
HOUGH,GL84,0.750194545076528
HOUGH,GL84,0.8880336525874138
RHT,GL84,0.8900510215110818
RHT,GL84,0.4714019201955841
RHT,GL84,0.8305184124918773
RHT,GL84,0.8560936511086297
RHT,GL84,0.6135256844232115
RHT,GL84,0.7131733378432986
RHT,GL84,0.702278204172352
RHT,GL84,0.7842353182913655
RHT,GL84,0.8920291296598384
RHT,GL84,0.5042101887927163
RHT,GL84,0.6356351361677673
RHT,GL84,0.6003491401537802
RHT,GL84,0.8299654671069054
RHT,GL84,0.6094843847037145
RHT,GL84,0.7355892198644726
RHT,GL84,0.7585624610981737
RHT,GL84,0.7860971425602699
RHT,GL84,0.4822685151179964
RHT,GL84,0.6912772019867981
RHT,GL84,0.6356711202182559
RHT,GL84,0.7794734867134893
RHT,GL84,0.8418039915399763
RHT,GL84,0.6225665427948007
RHT,GL84,0.6539212446583339
RHT,GL84,0.39900575214482403
RHT,GL84,0.7277496661495332
RHT,GL84,0.3971388653281493
RHT,GL84,0.6632830484060841
RHT,GL84,0.6897280210456707
RHT,GL84,0.6829740773401208
RHT,GL84,0.7741824753246038
RHT,GL84,0.6335846897464263
RHT,GL84,0.6692254557200042
RHT,GL84,0.8356422491210892
RHT,GL84,0.6767781482283091
RHT,GL84,0.6891644780679856
RHT,GL84,0.6834940460864538
RHT,GL84,0.9238390199419553
RHT,GL84,0.6931487274988082
RHT,GL84,0.8758126287903732
RHT,GL84,0.7972450381310304
RHT,GL84,0.6899394042185435
RHT,GL84,0.5861074293273276
RHT,GL84,0.8085299523380008
RHT,GL84,0.6548763999870796
RHT,GL84,0.8813832462780595
RHT,GL84,0.3636251031536882
RHT,GL84,0.6501243740327645
RHT,GL84,0.6184163144511214
RHT,GL84,0.648043460343679
RHT,GL84,0.7467360124772838
RHT,GL84,0.9030197108251115
RHT,GL84,0.8709236953170324
RHT,GL84,0.6368890022752597
RHT,GL84,0.6434096530146874
RHT,GL84,0.861097979277063
RHT,GL84,0.6839918821968233
RHT,GL84,0.8213711624090219
RHT,GL84,0.8556052570005616
RHT,GL84,0.5906407453088827
RHT,GL84,0.861917766419307
RHT,GL84,0.7910504264160932
RHT,GL84,0.7666867775244582
RHT,GL84,0.7660418347486475
RHT,GL84,0.6159464724465592
RHT,GL84,0.7534050559183051
RHT,GL84,0.5478787067858194
RHT,GL84,0.880343120030558
RHT,GL84,0.9178075943426519
RHT,GL84,0.9726665766649533
RHT,GL84,0.7988167468165599
RHT,GL84,0.5479658417878805
RHT,GL84,0.8440155279039526
RHT,GL84,0.8829402473530911
RHT,GL84,0.7606534766866538
