Method,Noise_pct,Outlier_pct,q,J_mean,J_std,Time_s
3C-FBI,1,40,12,0.0166,0.0371,0.00638
3C-FBI,1,40,24,0.0,0.0,0.00625
3C-FBI,1,40,40,0.0,0.0,0.006289
3C-FBI,1,50,0,0.9939,0.0027,0.008726
3C-FBI,1,50,1,0.9839,0.0042,0.008761
3C-FBI,1,50,2,0.2001,0.0013,0.007453
3C-FBI,1,50,3,0.2516,0.1323,0.006589
3C-FBI,1,50,6,0.1377,0.127,0.006191
3C-FBI,1,50,12,0.0157,0.049,0.006041
3C-FBI,1,50,24,0.0,0.0,0.006111
3C-FBI,1,50,40,0.0,0.0,0.006104
3C-FBI,1,60,0,0.9928,0.0032,0.008667
3C-FBI,1,60,1,0.9825,0.0042,0.00823
3C-FBI,1,60,2,0.2002,0.0015,0.007496
3C-FBI,1,60,3,0.2372,0.1172,0.006664
3C-FBI,1,60,6,0.1416,0.1282,0.006215
3C-FBI,1,60,12,0.0108,0.0326,0.006026
3C-FBI,1,60,24,0.0,0.0,0.006126
3C-FBI,1,60,40,0.0,0.0,0.006164
3C-FBI,1,70,0,0.9687,0.0594,0.008807
3C-FBI,1,70,1,0.9616,0.0476,0.00848
3C-FBI,1,70,2,0.1981,0.0174,0.007198
3C-FBI,1,70,3,0.2496,0.1191,0.006659
3C-FBI,1,70,6,0.1727,0.1356,0.006238
3C-FBI,1,70,12,0.0178,0.0543,0.006129
3C-FBI,1,70,24,0.0,0.0,0.006089
3C-FBI,1,70,40,0.0,0.0,0.006161
3C-FBI,2,0,0,0.9881,0.0047,0.008743
3C-FBI,2,0,1,0.9814,0.007,0.00903
3C-FBI,2,0,2,0.2005,0.0023,0.007681
3C-FBI,2,0,3,0.2157,0.1,0.006545
3C-FBI,2,0,6,0.1081,0.1424,0.00613
3C-FBI,2,0,12,0.0169,0.0524,0.006129
3C-FBI,2,0,24,0.0,0.0,0.006165
3C-FBI,2,0,40,0.0,0.0,0.006142
3C-FBI,2,10,0,0.988,0.0057,0.008867
3C-FBI,2,10,1,0.9801,0.0068,0.008587
3C-FBI,2,10,2,0.2002,0.0023,0.007329
3C-FBI,2,10,3,0.217,0.1032,0.006627
3C-FBI,2,10,6,0.1233,0.1548,0.006276
3C-FBI,2,10,12,0.0202,0.0617,0.006231
