case_idx,filename,config,mean_J,std_J,range_J,min_J,max_J
0,05571583_2020023_Feet_L_S_0,GL80,0.8980164834811005,0.0,0.0,0.8980164834811005,0.8980164834811005
1,05571583_2020023_Feet_L_S_1,GL80,0.9053268661213804,0.0016389319621477798,0.005726891747794727,0.9001153946308869,0.9058422863786816
2,05571583_2020023_Feet_L_S_2,GL80,0.9090522846207544,3.3306690738754696e-16,0.0,0.909052284620754,0.909052284620754
3,05571583_2020023_Feet_L_S_3,GL80,0.9263489493574686,0.0,0.0,0.9263489493574686,0.9263489493574686
4,05571583_2020023_Feet_R_S_0,GL80,0.8841464928416927,0.0030975906377242383,0.014212720587681749,0.8834358568123083,0.89764857739999
5,05571583_2020023_Feet_R_S_1,GL80,0.8576845299062248,0.0012970800673712392,0.006619134001238258,0.857419764546175,0.8640388985474132
6,05571583_2020023_Feet_R_S_2,GL80,0.8941234017138459,1.1102230246251565e-16,0.0,0.894123401713846,0.894123401713846
7,05571583_2020023_Feet_R_S_3,GL80,0.8857357081982851,0.00011393195632119601,0.000813799688008543,0.8849381845040369,0.8857519841920455
8,05723258_20200601_Feet_L_S_0,GL80,0.9189196632601813,2.220446049250313e-16,0.0,0.918919663260181,0.918919663260181
9,05723258_20200601_Feet_L_S_1,GL80,0.9324937615479082,3.3306690738754696e-16,0.0,0.9324937615479085,0.9324937615479085
10,05723258_20200601_Feet_L_S_2,GL80,0.9313656354044169,2.220446049250313e-16,0.0,0.9313656354044171,0.9313656354044171
11,05723258_20200601_Feet_L_S_3,GL80,0.9349446356167003,1.1102230246251565e-16,0.0,0.9349446356167002,0.9349446356167002
12,05723258_20200601_Feet_R_S_0,GL80,0.9171032216409282,0.0005084885014741818,0.0051105017260604235,0.9120438249321284,0.9171543266581889
13,05723258_20200601_Feet_R_S_1,GL80,0.8868166373671394,0.006256408952322936,0.021800182763016873,0.883516867528464,0.9053170502914809
14,05723258_20200601_Feet_R_S_2,GL80,0.9313111665296896,0.008023790102418476,0.021716800949177162,0.9247912778050092,0.9465080787541864
15,05723258_20200601_Feet_R_S_3,GL80,0.905727207067429,0.0012744143957349504,0.012808346600243437,0.893046943933188,0.9058552905334314
16,11156926_20200427_Feet_L_S_0,GL80,0.8587106498622517,0.03547507009269088,0.07160390337418443,0.8261711668542673,0.8977750702284517
17,11156926_20200427_Feet_L_S_1,GL80,0.8923036922448212,0.0017643835148474412,0.0037523092166161787,0.8897896450696884,0.8935419542863046
18,11156926_20200427_Feet_L_S_2,GL80,0.9279064982141118,3.3306690738754696e-16,0.0,0.9279064982141114,0.9279064982141114
19,11156926_20200427_Feet_L_S_3,GL80,0.8826122602427279,1.1102230246251565e-16,0.0,0.882612260242728,0.882612260242728
20,11156926_20200427_Feet_R_S_0,GL80,0.9348046889192687,0.0007490504160269136,0.007528239936426928,0.9273517313822058,0.9348799713186328
21,11156926_20200427_Feet_R_S_1,GL80,0.8567204535522486,0.03572555395772735,0.10801898067493998,0.7945240029206029,0.9025429835955429
22,11156926_20200427_Feet_R_S_2,GL80,0.8462910128835963,0.0,0.0,0.8462910128835963,0.8462910128835963
23,11156926_20200427_Feet_R_S_3,GL80,0.8434110584475554,0.007833279017223247,0.03594154908698288,0.8416139809932064,0.8775555300801893
24,12405045_2020023_Feet_L_S_0,GL80,0.9126858855800571,0.0005625000372046796,0.0032854807272745257,0.9095048760654899,0.9127903567927644
25,12405045_2020023_Feet_L_S_1,GL80,0.915310153019123,8.277364705220182e-05,0.0008319064539438203,0.9144865656297185,0.9153184720836623
26,12405045_2020023_Feet_L_S_2,GL80,0.9121439046570411,3.3306690738754696e-16,0.0,0.9121439046570408,0.9121439046570408
27,12405045_2020023_Feet_L_S_3,GL80,0.9004317504042301,2.220446049250313e-16,0.0,0.9004317504042303,0.9004317504042303
28,12405045_2020023_Feet_R_S_0,GL80,0.8946500415255317,0.009139773364808078,0.0315864162650864,0.8903743374962797,0.9219607537613661
29,12405045_2020023_Feet_R_S_1,GL80,0.8949294017603598,0.0,0.0,0.8949294017603598,0.8949294017603598
30,12405045_2020023_Feet_R_S_2,GL80,0.9174266829355527,1.1102230246251565e-16,0.0,0.9174266829355529,0.9174266829355529
31,12405045_2020023_Feet_R_S_3,GL80,0.8662470422000343,0.03342853834897817,0.23989331210596632,0.6738684351623512,0.9137617472683175
32,14923392_20200622_Feet_L_S_0,GL80,0.9084430166936702,2.220446049250313e-16,0.0,0.9084430166936704,0.9084430166936704
33,14923392_20200622_Feet_L_S_1,GL80,0.9530632650170907,0.01923838284712147,0.05410515340963706,0.9094743409899749,0.963579494399612
34,14923392_20200622_Feet_L_S_2,GL80,0.9117040756129708,0.007780800473402455,0.025426923320107542,0.8931171199963496,0.9185440433164571
35,14923392_20200622_Feet_L_S_3,GL80,0.8943251766259688,1.1102230246251565e-16,0.0,0.8943251766259687,0.8943251766259687
36,14923392_20200622_Feet_R_S_0,GL80,0.8987635459318557,0.0,0.0,0.8987635459318557,0.8987635459318557
37,14923392_20200622_Feet_R_S_1,GL80,0.8530114057410597,0.0031109995291853567,0.043996175706335294,0.831007517265892,0.8750036929722272
38,14923392_20200622_Feet_R_S_2,GL80,0.9473131530406599,0.0008092152436408062,0.005780108883148616,0.9471975508629967,0.9529776597461453
39,14923392_20200622_Feet_R_S_3,GL80,0.8889779439155698,2.220446049250313e-16,0.0,0.8889779439155701,0.8889779439155701
40,23839779_20200420_Feet_L_S_0,GL80,0.9199101133348616,1.1102230246251565e-16,0.0,0.9199101133348615,0.9199101133348615
41,23839779_20200420_Feet_L_S_1,GL80,0.8919574622949626,3.3306690738754696e-16,0.0,0.8919574622949623,0.8919574622949623
42,23839779_20200420_Feet_L_S_2,GL80,0.9844293429605335,2.220446049250313e-16,0.0,0.9844293429605333,0.9844293429605333
43,23839779_20200420_Feet_L_S_3,GL80,0.9468458943320845,0.021832360367581943,0.10718978789744016,0.8647630189026289,0.971952806800069
44,23839779_20200420_Feet_R_S_0,GL80,0.8296019012770702,7.913184346144187e-05,0.0005652274532960133,0.8290479783728399,0.829613205826136
45,23839779_20200420_Feet_R_S_1,GL80,0.8438170479210059,0.010925256695217348,0.030596838726413056,0.8392275221120441,0.8698243608384572
46,23839779_20200420_Feet_R_S_2,GL80,0.8472097879863797,0.009202771765521187,0.0251026179874424,0.8431933691083887,0.8682959870958311
47,23839779_20200420_Feet_R_S_3,GL80,0.8677606700463404,0.0,0.0,0.8677606700463404,0.8677606700463404
48,24918068_20200413_Feet_L_S_0,GL80,0.8493760138649503,0.001167123885798792,0.006841801386559654,0.8491707598233535,0.8560125612099132
49,24918068_20200413_Feet_L_S_1,GL80,0.9436375133796056,1.1102230246251565e-16,0.0,0.9436375133796057,0.9436375133796057
50,24918068_20200413_Feet_L_S_2,GL80,0.9477122041250101,0.004459189481024455,0.010596114590974648,0.9395531958899593,0.950149310480934
51,24918068_20200413_Feet_L_S_3,GL80,0.9539845479041184,0.0,0.0,0.9539845479041184,0.9539845479041184
52,24918068_20200413_Feet_R_S_0,GL80,0.9115627818161063,0.006097107502974461,0.016231563144621708,0.8980905844060701,0.9143221475506919
53,24918068_20200413_Feet_R_S_1,GL80,0.8576918390121889,0.005422030329113572,0.03871505147406107,0.8199055538719738,0.8586206053460349
54,24918068_20200413_Feet_R_S_2,GL80,0.8862763022103849,3.3306690738754696e-16,0.0,0.8862763022103846,0.8862763022103846
55,24918068_20200413_Feet_R_S_3,GL80,0.8907797678770479,1.1102230246251565e-16,0.0,0.890779767877048,0.890779767877048
56,27342472_20200310_Feet_L_S_0,GL80,0.918578751219566,0.009816211116931674,0.029587514830739847,0.8982939987369815,0.9278815135677213
57,27342472_20200310_Feet_L_S_1,GL80,0.9268433937259499,2.220446049250313e-16,0.0,0.9268433937259501,0.9268433937259501
58,27342472_20200310_Feet_L_S_2,GL80,0.9087764787269771,0.007144439592320712,0.030083517638082924,0.9069714676686919,0.9370549853067748
59,27342472_20200310_Feet_L_S_3,GL80,0.9457711827424344,0.0020640133506640767,0.005948387586681925,0.9449384084802992,0.9508867960669811
60,27342472_20200310_Feet_R_S_0,GL80,0.9289941001421984,3.3306690738754696e-16,0.0,0.9289941001421981,0.9289941001421981
61,27342472_20200310_Feet_R_S_1,GL80,0.9271671915908446,1.1102230246251565e-16,0.0,0.9271671915908447,0.9271671915908447
62,27342472_20200310_Feet_R_S_2,GL80,0.9660805477172073,1.1102230246251565e-16,0.0,0.9660805477172072,0.9660805477172072
63,27342472_20200310_Feet_R_S_3,GL80,0.9760253676770518,1.1102230246251565e-16,0.0,0.976025367677052,0.976025367677052
64,28515479_20200629_Feet_L_S_0,GL80,0.9356477319437072,0.013852583261582513,0.02771070921933394,0.9220694844262337,0.9497801936455676
65,28515479_20200629_Feet_L_S_1,GL80,0.9252897773407657,0.0008501924602074282,0.0020873441359425815,0.9248514350722178,0.9269387792081604
66,28515479_20200629_Feet_L_S_2,GL80,0.9387007078199602,0.003125239107711574,0.006597384927411465,0.9364575969446404,0.9430549818720518
67,28515479_20200629_Feet_L_S_3,GL80,0.8759462930036186,0.0063482458380990136,0.0421485829846413,0.8741952081380733,0.9163437911227146
68,28515479_20200629_Feet_R_S_0,GL80,0.8634532265433488,1.1102230246251565e-16,0.0,0.8634532265433489,0.8634532265433489
69,28515479_20200629_Feet_R_S_1,GL80,0.8906420290395272,1.1102230246251565e-16,0.0,0.890642029039527,0.890642029039527
70,28515479_20200629_Feet_R_S_2,GL80,0.9074403175363749,2.220446049250313e-16,0.0,0.9074403175363751,0.9074403175363751
71,28515479_20200629_Feet_R_S_3,GL80,0.9189510157624465,0.0010071668445919518,0.0025673324531351183,0.918463222596351,0.9210305550494862
72,29478252_20200608_Feet_L_S_0,GL80,0.9031257438681606,0.0022315249095665687,0.005326180249222823,0.8990863814332561,0.904412561682479
73,29478252_20200608_Feet_L_S_1,GL80,0.8807692670053343,2.220446049250313e-16,0.0,0.8807692670053345,0.8807692670053345
74,29478252_20200608_Feet_L_S_2,GL80,0.914558404276571,4.440892098500626e-16,0.0,0.9145584042765705,0.9145584042765705
75,29478252_20200608_Feet_L_S_3,GL80,0.9493990597151426,0.00043130900070294524,0.0019789814184248966,0.9475190273676389,0.9494980087860638
76,29478252_20200608_Feet_R_S_0,GL80,0.8315076542526221,2.220446049250313e-16,0.0,0.8315076542526223,0.8315076542526223
77,29478252_20200608_Feet_R_S_1,GL80,0.7713047788595739,0.05378795326015689,0.22475814596002475,0.6673123282799127,0.8920704742399375
78,29478252_20200608_Feet_R_S_2,GL80,0.7256570157022999,0.04883062356928221,0.185109129158882,0.5973795540177965,0.7824886831766785
79,29478252_20200608_Feet_R_S_3,GL80,0.9149439999893874,0.039297967965123026,0.10420528385192496,0.8408088238010194,0.9450141076529444
80,30804199_20200406_Feet_L_S_0,GL80,0.9827515538948807,0.003971224214284083,0.022116939663673896,0.9620456132244689,0.9841625528881428
