Filename,GL70,GL72,GL74,GL76,GL78,GL80,GL82,GL84,GL86,Med3,Med5,Med7,Med9,Med11,Med13,Med15,Med17,Med19
05571583_2020023_Feet_L_S_0,0.8687004254904848,0.9028898530857861,0.8834778769260968,0.9061128260599486,0.9061263519125092,0.897738588138055,0.9099176681293951,0.9134047661287286,0.9261977275117409,0.6735007674079764,0.7057478963566881,0.7500159524612827,0.7525164991524882,0.8019457161848671,0.9023447528043018,0.8800858518085305,0.8492259176718437,0.798880903860424
05571583_2020023_Feet_L_S_1,0.8530212145649322,0.8742942480084276,0.871780354962969,0.8712328259864294,0.8681570271384679,0.9091650706451118,0.9103370348328421,0.9160834172268606,0.9143931090301954,0.6930571068769285,0.7404941683122239,0.8356495574537812,0.9022231847509868,0.9070090737235227,0.9108119938003659,0.887427062857354,0.8986084707236196,0.8734010112269598
05571583_2020023_Feet_L_S_2,0.8758453872334625,0.8748612293368349,0.8829088782193342,0.8801941167976738,0.8859605667898273,0.9050641481901027,0.9050911432090688,0.9039287845772058,0.9194846894592771,0.7237576119718233,0.8011048476689936,0.9207101644899665,0.921082087129922,0.9096570094573753,0.9116470140434634,0.8689819526028093,0.8657939989052378,0.8135321677458136
05571583_2020023_Feet_L_S_3,0.9052329775946586,0.9090501164892532,0.9077564111106128,0.9149805776106478,0.9119238211304935,0.9322476579417768,0.9303915037747642,0.9381755779633061,0.9511633346600156,0.6854483111448245,0.7461711101449585,0.8243560111350143,0.9207329013624558,0.9243890679234955,0.9162894166721843,0.8738940493377592,0.8464331578645768,0.8333330734003936
05571583_2020023_Feet_R_S_0,0.7628942045549313,0.8327627174542616,0.8094377502158329,0.8465675081534711,0.8469555344240425,0.8372271141476567,0.851634253869087,0.888167362573417,0.859060002565001,0.7164055654285842,0.7577072692651916,0.7787415059695901,0.8611983356864592,0.8999601129936959,0.899595789007487,0.8743867825635953,0.8535589041127328,0.8171990292159697
05571583_2020023_Feet_R_S_1,0.7914590778877487,0.8267584133942343,0.8208943905953918,0.800211714769959,0.8052039815219062,0.8037926322325406,0.8295212079154712,0.8060015257068046,0.8359548144106395,0.8124587273720815,0.8743521714378544,0.8617598922773902,0.8421979439782125,0.9228034919937458,0.8438293838127403,0.787807181706845,0.7085107966449392,0.6704395594465713
05571583_2020023_Feet_R_S_2,0.8402323832541355,0.8552179918290395,0.8552179918290395,0.8676463768253324,0.874257320771421,0.875665433183261,0.8813103267940289,0.8854017158382026,0.8874942876101706,0.8422940421074981,0.8443713706255608,0.8606113242392024,0.8730493908965685,0.8720239220576979,0.8278006827487318,0.7619217944934732,0.707381315989443,0.6381951567673334
05571583_2020023_Feet_R_S_3,0.8474527151604467,0.8805893510617766,0.9093357991172125,0.9096071222751235,0.9096071222751235,0.870195924070016,0.8859315133497687,0.8808715301170538,0.883270699545466,0.6931144869588471,0.7842927268419485,0.8389249149170326,0.8705784027970093,0.90287028088878,0.8480498467672206,0.7598488966476015,0.73678176904285,0.6554140668751481
05723258_20200601_Feet_L_S_0,0.9213944857970795,0.9109698082532289,0.9153049331503315,0.9086636666930046,0.9062213229898912,0.9072343578524967,0.91300555179134,0.8906880781352196,0.8788388664969917,0.74174180242683,0.7903867520284801,0.9118556442494595,0.9084658129432539,0.8663950475268015,0.777264977820168,0.7620590546160387,0.6956162769085802,0.6295846320343361
05723258_20200601_Feet_L_S_1,0.9230861871441788,0.9214874465791913,0.9130965281318079,0.9102365857578754,0.9020416960136497,0.9059348922906165,0.8994604543732361,0.9066326049907258,0.9049190900433209,0.8075058720550622,0.9304270359380642,0.9062100840357241,0.9160952284751099,0.8856071678731006,0.8312330014783823,0.7941813033115487,0.7159259397221659,0.650094934250358
05723258_20200601_Feet_L_S_2,0.9530329933348414,0.9438172413452771,0.9546740478910688,0.9533323493373524,0.9411635686477117,0.9363782508648025,0.909399357872808,0.9297684925318017,0.9213406200512758,0.8606357041578363,0.9476418619497889,0.930002127853723,0.9418926453250029,0.9184448666430809,0.8545949094973965,0.7922525852538728,0.7626350755309655,0.6724152018242938
05723258_20200601_Feet_L_S_3,0.9186666533135163,0.9173081939542004,0.9235182163985961,0.9121096651636585,0.9118606268612478,0.9140936256553472,0.9081687593704294,0.9012367753008537,0.9126911028411283,0.8769239290199651,0.9282858606342305,0.9121179470120074,0.9061781547990099,0.8835450789461657,0.8379396588134967,0.7700213811031201,0.7332837485861182,0.6440561025486432
05723258_20200601_Feet_R_S_0,0.8311211099701411,0.84110309471601,0.8798358236131786,0.8592986640825071,0.9232334774504453,0.9333272938039844,0.9445710969315985,0.9478590624087984,0.964200921800737,0.7455269353057122,0.7617606052692972,0.8399441892419687,0.8142140240918837,0.8603179437720365,0.8192185466575109,0.7488286471993113,0.703220182468363,0.591446898134388
05723258_20200601_Feet_R_S_1,0.9383820709508897,0.9067211143104756,0.9280225538225162,0.8935604666031743,0.8841960419561649,0.8762821563990877,0.8657534189456525,0.8620107403037698,0.8488100902163309,0.8047231272516314,0.8440321410296365,0.8847063066318777,0.8899884440889552,0.8649110116814579,0.8133307605096363,0.7998723147361941,0.7055646812578193,0.6319978783100794
