method,config,Jaccard
3CFBI,GL82,0.9099176681293951
3CFBI,GL82,0.9103370348328421
3CFBI,GL82,0.9050911432090688
3CFBI,GL82,0.9303915037747642
3CFBI,GL82,0.851634253869087
3CFBI,GL82,0.8295212079154712
3CFBI,GL82,0.8813103267940289
3CFBI,GL82,0.8859315133497687
3CFBI,GL82,0.91300555179134
3CFBI,GL82,0.8994604543732361
3CFBI,GL82,0.909399357872808
3CFBI,GL82,0.9081687593704294
3CFBI,GL82,0.9445710969315985
3CFBI,GL82,0.8657534189456525
3CFBI,GL82,0.9361460306281011
3CFBI,GL82,0.8884902985003885
3CFBI,GL82,0.8852502144811976
3CFBI,GL82,0.9086121063701632
3CFBI,GL82,0.933231970619141
3CFBI,GL82,0.876756389691885
3CFBI,GL82,0.9495051592785838
3CFBI,GL82,0.780721901179926
3CFBI,GL82,0.8166616026878374
3CFBI,GL82,0.8545341452353359
3CFBI,GL82,0.9286311433078314
3CFBI,GL82,0.9359079932387594
3CFBI,GL82,0.9020745813193672
3CFBI,GL82,0.8899647786645345
3CFBI,GL82,0.89257843452398
3CFBI,GL82,0.8991936480309565
3CFBI,GL82,0.9174236274286455
3CFBI,GL82,0.9325025602503568
3CFBI,GL82,0.9067131163784474
3CFBI,GL82,0.9108258947719238
3CFBI,GL82,0.9059553735568727
3CFBI,GL82,0.9196058703530626
3CFBI,GL82,0.9056999419451203
3CFBI,GL82,0.8602999111351131
3CFBI,GL82,0.934396283894602
3CFBI,GL82,0.8840932622585431
3CFBI,GL82,0.9294564143167454
3CFBI,GL82,0.881547201884793
3CFBI,GL82,0.979110948250631
3CFBI,GL82,0.9477363502292387
3CFBI,GL82,0.834244738564379
3CFBI,GL82,0.8424342223763964
3CFBI,GL82,0.8283555297901328
3CFBI,GL82,0.8634608959542472
3CFBI,GL82,0.8578702733293756
3CFBI,GL82,0.9362090172898055
3CFBI,GL82,0.9416122416519913
3CFBI,GL82,0.9331111003818273
3CFBI,GL82,0.9109705177923779
3CFBI,GL82,0.8536724093350794
3CFBI,GL82,0.9023007832130392
3CFBI,GL82,0.9049907081634648
3CFBI,GL82,0.9068928786206584
3CFBI,GL82,0.9227683764137198
3CFBI,GL82,0.9150722095913607
3CFBI,GL82,0.9355217598408642
3CFBI,GL82,0.9463369815470352
3CFBI,GL82,0.9051307704707305
3CFBI,GL82,0.970985103085813
3CFBI,GL82,0.986683822823223
3CFBI,GL82,0.9468924281458218
3CFBI,GL82,0.9123652021176635
3CFBI,GL82,0.955371111515861
3CFBI,GL82,0.9216446696529411
3CFBI,GL82,0.8729983803308715
3CFBI,GL82,0.8923984251599523
3CFBI,GL82,0.9014973974371705
3CFBI,GL82,0.9084770029563489
3CFBI,GL82,0.8971484563767881
3CFBI,GL82,0.924718675074313
3CFBI,GL82,0.9086385184174717
3CFBI,GL82,0.9526958622135929
3CFBI,GL82,0.800400468789941
3CFBI,GL82,0.697087777098357
3CFBI,GL82,0.5966092284006216
3CFBI,GL82,0.8847098712751792
3CFBI,GL82,0.9890313588995556
3CFBI,GL82,0.9497598262644894
3CFBI,GL82,0.9243535638202979
3CFBI,GL82,0.9544161994032606
3CFBI,GL82,0.8642730464646697
3CFBI,GL82,0.8773896610741994
3CFBI,GL82,0.8629785869349834
3CFBI,GL82,0.9095165166537484
3CFBI,GL82,0.9169156810313617
3CFBI,GL82,0.9299458748486368
3CFBI,GL82,0.9069084172531514
3CFBI,GL82,0.8905294505638935
3CFBI,GL82,0.8749623885525025
3CFBI,GL82,0.8523847768005912
3CFBI,GL82,0.9271052533279153
3CFBI,GL82,0.8985806811906247
3CFBI,GL82,0.9599615603930931
3CFBI,GL82,0.9672122802261629
3CFBI,GL82,0.9173035140925254
3CFBI,GL82,0.8606809900081066
3CFBI,GL82,0.8709486528563599
3CFBI,GL82,0.8171415542582239
3CFBI,GL82,0.8610819782430749
3CFBI,GL82,0.81405717633606
3CFBI,GL82,0.8804941660052851
3CFBI,GL82,0.9562368413914094
3CFBI,GL82,0.9241271478951424
3CFBI,GL82,0.9479795462311548
3CFBI,GL82,0.9303267008295891
3CFBI,GL82,0.85340415168612
3CFBI,GL82,0.9217719837506407
3CFBI,GL82,0.8973345589369552
3CFBI,GL82,0.9101487450374256
3CFBI,GL82,0.872503552036334
3CFBI,GL82,0.9047868155015983
3CFBI,GL82,0.954432357879445
3CFBI,GL82,0.8465073979373534
3CFBI,GL82,0.8735552525661813
3CFBI,GL82,0.9028821522844929
3CFBI,GL82,0.9207551069972852
3CFBI,GL82,0.9409997871566719
3CFBI,GL82,0.9346843446064078
3CFBI,GL82,0.8988293356610653
3CFBI,GL82,0.9482383518002682
3CFBI,GL82,0.8989593539518252
3CFBI,GL82,0.7726513754537357
3CFBI,GL82,0.8450465910888022
3CFBI,GL82,0.8458512722927082
3CFBI,GL82,0.923178758285005
3CFBI,GL82,0.8774829630688492
3CFBI,GL82,0.9310387055985194
3CFBI,GL82,0.9061280055948957
3CFBI,GL82,0.9325578965306779
3CFBI,GL82,0.855586623623968
3CFBI,GL82,0.8944405668417269
3CFBI,GL82,0.9602360696920985
3CFBI,GL82,0.8872363134231781
3CFBI,GL82,0.8043275094407029
3CFBI,GL82,0.8787860591577984
3CFBI,GL82,0.8691165994584733
3CFBI,GL82,0.8317029240882184
3CFBI,GL82,0.8917994921785233
3CFBI,GL82,0.8789755227770853
3CFBI,GL82,0.8925840648322637
