method,config,Jaccard
CIBICA,GL80,0.8980164834811005
CIBICA,GL80,0.9001153946308869
CIBICA,GL80,0.909052284620754
CIBICA,GL80,0.9263489493574686
CIBICA,GL80,0.89764857739999
CIBICA,GL80,0.8927450419654501
CIBICA,GL80,0.894123401713846
CIBICA,GL80,0.8857519841920455
CIBICA,GL80,0.918919663260181
CIBICA,GL80,0.9324937615479085
CIBICA,GL80,0.9313656354044171
CIBICA,GL80,0.9349446356167002
CIBICA,GL80,0.9171543266581889
CIBICA,GL80,0.883516867528464
CIBICA,GL80,0.9247912778050092
CIBICA,GL80,0.9058552905334314
CIBICA,GL80,0.8464328393120673
CIBICA,GL80,0.8935419542863046
CIBICA,GL80,0.9279064982141114
CIBICA,GL80,0.882612260242728
CIBICA,GL80,0.9348799713186328
CIBICA,GL80,0.7945240029206029
CIBICA,GL80,0.8371835499731114
CIBICA,GL80,0.8416139809932064
CIBICA,GL80,0.9127903567927644
CIBICA,GL80,0.9153184720836623
CIBICA,GL80,0.9121439046570408
CIBICA,GL80,0.9004317504042303
CIBICA,GL80,0.9096342176105509
CIBICA,GL80,0.8949294017603598
CIBICA,GL80,0.9174266829355529
CIBICA,GL80,0.9137617472683175
CIBICA,GL80,0.9084430166936704
CIBICA,GL80,0.963579494399612
CIBICA,GL80,0.9185440433164571
CIBICA,GL80,0.8943251766259687
CIBICA,GL80,0.8987635459318557
CIBICA,GL80,0.8530115241211006
CIBICA,GL80,0.9471975508629967
CIBICA,GL80,0.8889779439155701
CIBICA,GL80,0.9419990950731115
CIBICA,GL80,0.8919574622949623
CIBICA,GL80,0.9844293429605333
CIBICA,GL80,0.9551009900154724
CIBICA,GL80,0.829613205826136
CIBICA,GL80,0.8392275221120441
CIBICA,GL80,0.8431933691083887
CIBICA,GL80,0.8677606700463404
CIBICA,GL80,0.8491707598233535
CIBICA,GL80,0.9436375133796057
CIBICA,GL80,0.950149310480934
CIBICA,GL80,0.9539845479041184
CIBICA,GL80,0.9143221475506919
CIBICA,GL80,0.8586206053460349
CIBICA,GL80,0.8862763022103846
CIBICA,GL80,0.890779767877048
CIBICA,GL80,0.9110637547072481
CIBICA,GL80,0.9268433937259501
CIBICA,GL80,0.9370549853067748
CIBICA,GL80,0.9449384084802992
CIBICA,GL80,0.9289941001421981
CIBICA,GL80,0.9271671915908447
CIBICA,GL80,0.9660805477172072
CIBICA,GL80,0.976025367677052
CIBICA,GL80,0.9497801936455676
CIBICA,GL80,0.9248514350722178
CIBICA,GL80,0.9430549818720518
CIBICA,GL80,0.8690610287904864
CIBICA,GL80,0.8634532265433489
CIBICA,GL80,0.890642029039527
CIBICA,GL80,0.9074403175363751
CIBICA,GL80,0.918463222596351
CIBICA,GL80,0.904412561682479
CIBICA,GL80,0.8807692670053345
CIBICA,GL80,0.9145584042765705
CIBICA,GL80,0.9285830789607697
CIBICA,GL80,0.8315076542526223
CIBICA,GL80,0.8920704742399375
CIBICA,GL80,0.6008483453276526
CIBICA,GL80,0.8429829301116686
CIBICA,GL80,0.9841625528881428
CIBICA,GL80,0.9588245231437328
CIBICA,GL80,0.926805169083856
CIBICA,GL80,0.9642712353408925
CIBICA,GL80,0.8682796304461529
CIBICA,GL80,0.9031985830608212
CIBICA,GL80,0.8612751435142821
CIBICA,GL80,0.9312328653731866
CIBICA,GL80,0.9248693946540204
CIBICA,GL80,0.9107230852965463
CIBICA,GL80,0.9142369482920083
CIBICA,GL80,0.8740394627136338
CIBICA,GL80,0.8774306161420845
CIBICA,GL80,0.8724007934249275
CIBICA,GL80,0.8975840620388182
CIBICA,GL80,0.9016127830352921
CIBICA,GL80,0.9373895584712786
CIBICA,GL80,0.9621415568738444
CIBICA,GL80,0.8952452209837464
